x_mm,y_mm,z_mm,LET_keV_per_um,Physical_dose
-17.625900,-148.602000,323.050000,15.834973,3.546507
-17.325900,-148.602000,323.050000,16.110790,3.040712
-17.025900,-148.602000,323.050000,16.312363,3.101608
-16.725900,-148.602000,323.050000,16.493631,3.435043
-16.425900,-148.602000,323.050000,16.545193,3.579396
-16.125900,-148.602000,323.050000,16.581577,3.482895
-15.825900,-148.602000,323.050000,16.406521,3.460571
-15.525900,-148.602000,323.050000,16.205975,3.406054
-15.225900,-148.602000,323.050000,16.479258,3.340683
-14.925900,-148.602000,323.050000,16.238415,3.200900
-14.625900,-148.602000,323.050000,16.231903,3.136937
-14.325900,-148.602000,323.050000,16.217466,3.105486
-14.025900,-148.602000,323.050000,16.212055,3.056391
-13.725900,-148.602000,323.050000,16.010904,3.054583
-13.425900,-148.602000,323.050000,16.558046,3.040210
-13.125900,-148.602000,323.050000,16.438620,3.118110
-12.825900,-148.602000,323.050000,16.555227,3.072092
-12.525900,-148.602000,323.050000,16.767893,3.042520
-12.225900,-148.602000,323.050000,16.366106,3.070822
-11.925900,-148.602000,323.050000,16.674389,3.264455
-11.625900,-148.602000,323.050000,16.816162,3.851641
-11.325900,-148.602000,323.050000,16.671967,5.040068
-11.025900,-148.602000,323.050000,16.566326,5.348371
-10.725900,-148.602000,323.050000,16.755079,6.090538
-10.425900,-148.602000,323.050000,16.575428,6.938807
-10.125900,-148.602000,323.050000,16.321911,7.179864
-9.825900,-148.602000,323.050000,16.444761,7.177156
-9.525900,-148.602000,323.050000,16.156599,7.352169
-9.225900,-148.602000,323.050000,16.210791,7.128417
-8.925900,-148.602000,323.050000,16.314081,7.358645
-8.625900,-148.602000,323.050000,16.242018,7.235247
-8.325900,-148.602000,323.050000,16.272535,7.460641
-8.025900,-148.602000,323.050000,16.386030,7.319141
-7.725900,-148.602000,323.050000,16.340179,7.103260
-7.425900,-148.602000,323.050000,16.272314,7.274556
-7.125900,-148.602000,323.050000,16.380890,7.273704
-6.825900,-148.602000,323.050000,16.438984,7.070163
-6.525900,-148.602000,323.050000,16.511559,7.279695
-6.225900,-148.602000,323.050000,16.312872,7.323900
-5.925900,-148.602000,323.050000,16.219549,7.102021
-5.625900,-148.602000,323.050000,16.342033,7.023838
-5.325900,-148.602000,323.050000,16.311699,7.339291
-5.025900,-148.602000,323.050000,16.536783,7.217881
-4.725900,-148.602000,323.050000,16.213463,7.314073
-4.425900,-148.602000,323.050000,16.159597,7.467709
-4.125900,-148.602000,323.050000,16.217588,7.366441
-3.825900,-148.602000,323.050000,16.193161,7.559458
-3.525900,-148.602000,323.050000,16.131804,7.276222
-3.225900,-148.602000,323.050000,16.155294,7.534331
-2.925900,-148.602000,323.050000,16.161558,7.478013
-2.625900,-148.602000,323.050000,16.067024,6.992268
-2.325900,-148.602000,323.050000,16.369040,7.040923
-2.025900,-148.602000,323.050000,16.246098,7.092390
-1.725900,-148.602000,323.050000,16.174017,7.254170
-1.425900,-148.602000,323.050000,16.530609,7.037029
-1.125900,-148.602000,323.050000,16.670431,6.505619
-0.825900,-148.602000,323.050000,16.860106,5.038918
-0.525900,-148.602000,323.050000,16.962080,4.589252
-0.225900,-148.602000,323.050000,16.611214,3.921621
0.074100,-148.602000,323.050000,16.906267,2.751384
0.374100,-148.602000,323.050000,16.918928,2.603350
0.674100,-148.602000,323.050000,16.650112,2.547666
0.974100,-148.602000,323.050000,16.717821,2.509034
1.274100,-148.602000,323.050000,16.642942,2.508204
1.574100,-148.602000,323.050000,15.954829,2.507884
1.874100,-148.602000,323.050000,17.024199,2.683679
2.174100,-148.602000,323.050000,17.061760,2.668787
2.474100,-148.602000,323.050000,16.901335,2.727606
2.774100,-148.602000,323.050000,16.741547,2.896410
3.074100,-148.602000,323.050000,16.561804,2.723060
3.374100,-148.602000,323.050000,16.585218,2.735708
3.674100,-148.602000,323.050000,16.799532,2.906542
3.974100,-148.602000,323.050000,16.739113,2.991975
4.274100,-148.602000,323.050000,16.834372,2.930335
4.574100,-148.602000,323.050000,17.011503,2.991796
4.874100,-148.602000,323.050000,16.879927,3.000553
5.174100,-148.602000,323.050000,16.706419,3.116973
5.474100,-148.602000,323.050000,17.052153,3.022889
5.774100,-148.602000,323.050000,17.223206,3.100965
6.074100,-148.602000,323.050000,16.843191,3.339796
6.374100,-148.602000,323.050000,17.013794,3.519069
6.674100,-148.602000,323.050000,16.826204,3.417100
-17.325900,-148.302000,323.050000,16.266867,5.087862
-17.025900,-148.302000,323.050000,16.511305,5.242846
-16.725900,-148.302000,323.050000,16.537315,6.042110
-16.425900,-148.302000,323.050000,16.306805,6.117508
-16.125900,-148.302000,323.050000,16.383287,5.934696
-15.825900,-148.302000,323.050000,16.515129,5.887719
-15.525900,-148.302000,323.050000,16.537298,5.874023
-15.225900,-148.302000,323.050000,16.492744,5.804323
-14.925900,-148.302000,323.050000,16.508423,5.470010
-14.625900,-148.302000,323.050000,16.602501,5.432888
-14.325900,-148.302000,323.050000,16.708521,5.416273
-14.025900,-148.302000,323.050000,16.728273,5.372561
-13.725900,-148.302000,323.050000,16.662745,5.205084
-13.425900,-148.302000,323.050000,16.664015,5.275740
-13.125900,-148.302000,323.050000,16.518574,5.322486
-12.825900,-148.302000,323.050000,16.493475,5.366492
-12.525900,-148.302000,323.050000,16.585209,5.222812
-12.225900,-148.302000,323.050000,16.760473,5.460982
-11.925900,-148.302000,323.050000,16.493073,5.514149
-11.625900,-148.302000,323.050000,16.365095,6.356422
-11.325900,-148.302000,323.050000,15.758082,8.024860
-11.025900,-148.302000,323.050000,15.742769,8.424498
-10.725900,-148.302000,323.050000,15.626258,9.249947
-10.425900,-148.302000,323.050000,15.110959,10.320169
-10.125900,-148.302000,323.050000,15.158015,10.733819
-9.825900,-148.302000,323.050000,15.159871,10.755240
-9.525900,-148.302000,323.050000,15.049814,10.796350
-9.225900,-148.302000,323.050000,15.070632,10.449677
-8.925900,-148.302000,323.050000,15.086196,10.764658
-8.625900,-148.302000,323.050000,14.961284,10.555983
-8.325900,-148.302000,323.050000,14.817751,10.838243
-8.025900,-148.302000,323.050000,15.005475,10.612649
-7.725900,-148.302000,323.050000,15.115047,10.385796
-7.425900,-148.302000,323.050000,14.857806,10.606742
-7.125900,-148.302000,323.050000,14.952478,10.703879
-6.825900,-148.302000,323.050000,15.095818,10.392402
-6.525900,-148.302000,323.050000,15.057982,10.691600
-6.225900,-148.302000,323.050000,14.911890,10.562997
-5.925900,-148.302000,323.050000,15.038192,10.514059
-5.625900,-148.302000,323.050000,15.167813,10.458051
-5.325900,-148.302000,323.050000,14.974802,10.568915
-5.025900,-148.302000,323.050000,14.972407,10.592699
-4.725900,-148.302000,323.050000,14.947855,10.583093
-4.425900,-148.302000,323.050000,14.824236,10.804296
-4.125900,-148.302000,323.050000,14.985442,10.869705
-3.825900,-148.302000,323.050000,15.018387,10.924338
-3.525900,-148.302000,323.050000,15.088607,10.615799
-3.225900,-148.302000,323.050000,14.932662,10.867332
-2.925900,-148.302000,323.050000,14.962331,10.762806
-2.625900,-148.302000,323.050000,15.178571,10.341629
-2.325900,-148.302000,323.050000,15.163940,10.497713
-2.025900,-148.302000,323.050000,15.139560,10.444957
-1.725900,-148.302000,323.050000,15.192779,10.714913
-1.425900,-148.302000,323.050000,15.277509,10.585741
-1.125900,-148.302000,323.050000,15.443291,10.020367
-0.825900,-148.302000,323.050000,16.065969,8.003996
-0.525900,-148.302000,323.050000,16.317801,7.514074
-0.225900,-148.302000,323.050000,16.453844,6.502195
0.074100,-148.302000,323.050000,16.628119,4.724891
0.374100,-148.302000,323.050000,17.051092,4.653586
0.674100,-148.302000,323.050000,16.728498,4.352733
0.974100,-148.302000,323.050000,16.948835,4.426406
1.274100,-148.302000,323.050000,16.650471,4.234856
1.574100,-148.302000,323.050000,17.030653,4.432180
1.874100,-148.302000,323.050000,16.965576,4.645499
2.174100,-148.302000,323.050000,16.724203,4.676068
2.474100,-148.302000,323.050000,17.023758,4.706091
2.774100,-148.302000,323.050000,16.735321,4.937669
3.074100,-148.302000,323.050000,17.111832,4.875576
3.374100,-148.302000,323.050000,17.044039,4.774417
3.674100,-148.302000,323.050000,16.790709,5.057725
3.974100,-148.302000,323.050000,16.717215,5.096484
4.274100,-148.302000,323.050000,17.045322,5.183084
4.574100,-148.302000,323.050000,16.728333,5.277518
4.874100,-148.302000,323.050000,16.824442,5.220399
5.174100,-148.302000,323.050000,16.937706,5.371403
5.474100,-148.302000,323.050000,16.957678,5.258906
5.774100,-148.302000,323.050000,16.749039,5.394950
6.074100,-148.302000,323.050000,16.599310,5.723862
6.374100,-148.302000,323.050000,16.592901,6.041675
6.674100,-148.302000,323.050000,16.623901,5.837300
-17.925900,-148.902000,323.350000,16.375937,3.337307
-17.625900,-148.902000,323.350000,15.308097,2.218673
-17.325900,-148.902000,323.350000,15.261553,2.020928
-17.025900,-148.902000,323.350000,15.484717,2.244567
-16.725900,-148.902000,323.350000,15.917071,2.701040
-16.425900,-148.902000,323.350000,16.423283,2.778288
-16.125900,-148.902000,323.350000,15.946526,2.887872
-15.825900,-148.902000,323.350000,16.374620,2.706758
-15.525900,-148.902000,323.350000,16.024931,2.746598
-15.225900,-148.902000,323.350000,16.292309,2.788013
-14.925900,-148.902000,323.350000,15.759813,2.706219
-14.625900,-148.902000,323.350000,16.051449,2.616085
-14.325900,-148.902000,323.350000,15.966884,2.641588
-14.025900,-148.902000,323.350000,15.788249,2.486926
-13.725900,-148.902000,323.350000,15.911188,2.581781
-13.425900,-148.902000,323.350000,16.163654,2.522624
-13.125900,-148.902000,323.350000,16.050932,2.558648
-12.825900,-148.902000,323.350000,16.224464,2.446666
-12.525900,-148.902000,323.350000,15.920906,2.470571
-12.225900,-148.902000,323.350000,15.810211,2.311963
-11.925900,-148.902000,323.350000,16.025099,2.433565
-11.625900,-148.902000,323.350000,16.532190,2.724830
-11.325900,-148.902000,323.350000,16.719952,3.289367
-11.025900,-148.902000,323.350000,16.397236,3.281618
-10.725900,-148.902000,323.350000,16.787683,3.575407
-10.425900,-148.902000,323.350000,17.024916,4.127103
-10.125900,-148.902000,323.350000,16.708284,4.011362
-9.825900,-148.902000,323.350000,16.816120,4.111767
-9.525900,-148.902000,323.350000,17.078609,4.292000
-9.225900,-148.902000,323.350000,16.892727,4.088940
-8.925900,-148.902000,323.350000,17.218184,4.157115
-8.625900,-148.902000,323.350000,16.968117,4.232275
-8.325900,-148.902000,323.350000,17.065805,4.388278
-8.025900,-148.902000,323.350000,16.864721,4.215076
-7.725900,-148.902000,323.350000,17.002577,4.153304
-7.425900,-148.902000,323.350000,16.915812,4.278913
-7.125900,-148.902000,323.350000,16.867760,4.218787
-6.825900,-148.902000,323.350000,16.998442,4.115648
-6.525900,-148.902000,323.350000,17.101995,4.109513
-6.225900,-148.902000,323.350000,17.340109,4.077022
-5.925900,-148.902000,323.350000,17.224924,4.243916
-5.625900,-148.902000,323.350000,16.844707,4.123562
-5.325900,-148.902000,323.350000,17.187609,3.985235
-5.025900,-148.902000,323.350000,16.989136,4.016165
-4.725900,-148.902000,323.350000,17.014427,4.029908
-4.425900,-148.902000,323.350000,17.016792,4.141068
-4.125900,-148.902000,323.350000,17.187790,4.157390
-3.825900,-148.902000,323.350000,17.025019,4.082198
-3.525900,-148.902000,323.350000,17.080381,4.178831
-3.225900,-148.902000,323.350000,16.965792,4.229755
-2.925900,-148.902000,323.350000,17.040136,4.242682
-2.625900,-148.902000,323.350000,17.091297,3.945582
-2.325900,-148.902000,323.350000,17.047075,4.064189
-2.025900,-148.902000,323.350000,16.820360,3.885199
-1.725900,-148.902000,323.350000,16.864719,4.029283
-1.425900,-148.902000,323.350000,17.135199,3.930166
-1.125900,-148.902000,323.350000,17.047689,3.954291
-0.825900,-148.902000,323.350000,16.880957,3.089922
-0.525900,-148.902000,323.350000,16.779966,2.818809
-0.225900,-148.902000,323.350000,16.916929,2.619884
0.074100,-148.902000,323.350000,16.362188,2.149569
0.374100,-148.902000,323.350000,16.205626,2.073030
0.674100,-148.902000,323.350000,16.334639,1.978048
0.974100,-148.902000,323.350000,16.569639,2.015259
1.274100,-148.902000,323.350000,15.912773,1.987350
1.574100,-148.902000,323.350000,16.604094,1.989686
1.874100,-148.902000,323.350000,16.379347,2.018832
2.174100,-148.902000,323.350000,16.464567,2.071524
2.474100,-148.902000,323.350000,16.205694,2.105649
2.774100,-148.902000,323.350000,16.020182,1.976862
3.074100,-148.902000,323.350000,16.286905,2.073039
3.374100,-148.902000,323.350000,16.164377,2.033630
3.674100,-148.902000,323.350000,16.683256,2.177176
3.974100,-148.902000,323.350000,16.547489,2.171896
4.274100,-148.902000,323.350000,16.487680,2.147341
4.574100,-148.902000,323.350000,16.397753,2.128723
4.874100,-148.902000,323.350000,16.325319,2.058040
5.174100,-148.902000,323.350000,16.899572,2.159722
5.474100,-148.902000,323.350000,16.561270,2.078053
5.774100,-148.902000,323.350000,16.291136,2.170999
6.074100,-148.902000,323.350000,16.452284,2.210722
6.374100,-148.902000,323.350000,16.215673,2.225536
6.674100,-148.902000,323.350000,16.199015,2.270240
6.974100,-148.902000,323.350000,16.276237,2.265940
7.274100,-148.902000,323.350000,16.510941,2.314113
7.574100,-148.902000,323.350000,16.562099,2.301278
7.874100,-148.902000,323.350000,16.460642,2.618868
8.174100,-148.902000,323.350000,17.088430,2.758346
8.474100,-148.902000,323.350000,17.183416,2.993383
8.774100,-148.902000,323.350000,16.882086,4.213069
9.074100,-148.902000,323.350000,16.832502,4.647528
9.374100,-148.902000,323.350000,16.736914,4.687871
25.574100,-148.902000,323.350000,14.866942,8.076446
-17.925900,-148.602000,323.350000,16.374348,5.289723
-17.625900,-148.602000,323.350000,16.116299,3.925954
-17.325900,-148.602000,323.350000,16.396381,3.520666
-17.025900,-148.602000,323.350000,16.472845,4.041636
-16.725900,-148.602000,323.350000,16.489479,4.840125
-16.425900,-148.602000,323.350000,16.763680,4.998957
-16.125900,-148.602000,323.350000,16.653622,5.038395
-15.825900,-148.602000,323.350000,16.544811,4.750075
-15.525900,-148.602000,323.350000,16.815674,4.782123
-15.225900,-148.602000,323.350000,16.785896,4.950719
-14.925900,-148.602000,323.350000,16.653219,4.787603
-14.625900,-148.602000,323.350000,16.660021,4.651097
-14.325900,-148.602000,323.350000,16.640837,4.608265
-14.025900,-148.602000,323.350000,16.859915,4.471349
-13.725900,-148.602000,323.350000,16.442776,4.583268
-13.425900,-148.602000,323.350000,16.800442,4.610713
-13.125900,-148.602000,323.350000,16.631332,4.517118
-12.825900,-148.602000,323.350000,16.553526,4.336892
-12.525900,-148.602000,323.350000,16.671497,4.415158
-12.225900,-148.602000,323.350000,16.969854,4.359314
-11.925900,-148.602000,323.350000,17.015905,4.317200
-11.625900,-148.602000,323.350000,16.795826,4.887116
-11.325900,-148.602000,323.350000,16.529726,5.637178
-11.025900,-148.602000,323.350000,16.528536,5.636972
-10.725900,-148.602000,323.350000,16.532761,6.224610
-10.425900,-148.602000,323.350000,16.364902,7.059957
-10.125900,-148.602000,323.350000,16.577990,6.740584
-9.825900,-148.602000,323.350000,16.396296,6.975104
-9.525900,-148.602000,323.350000,16.117485,7.026999
-9.225900,-148.602000,323.350000,16.336124,6.830441
-8.925900,-148.602000,323.350000,16.501646,6.942194
-8.625900,-148.602000,323.350000,16.281490,7.109654
-8.325900,-148.602000,323.350000,16.481382,7.435340
-8.025900,-148.602000,323.350000,16.243530,6.921921
-7.725900,-148.602000,323.350000,16.436632,7.102853
-7.425900,-148.602000,323.350000,16.156483,7.135368
-7.125900,-148.602000,323.350000,16.415194,7.086637
-6.825900,-148.602000,323.350000,16.424625,6.886514
-6.525900,-148.602000,323.350000,16.467154,7.021877
-6.225900,-148.602000,323.350000,16.094477,6.814665
-5.925900,-148.602000,323.350000,16.304098,6.926164
-5.625900,-148.602000,323.350000,16.261389,6.964880
-5.325900,-148.602000,323.350000,16.454861,6.878788
-5.025900,-148.602000,323.350000,16.449131,6.877640
-4.725900,-148.602000,323.350000,16.536345,6.965976
-4.425900,-148.602000,323.350000,16.274317,6.951022
-4.125900,-148.602000,323.350000,16.533743,7.152090
-3.825900,-148.602000,323.350000,16.440315,7.091061
-3.525900,-148.602000,323.350000,16.356686,7.078393
-3.225900,-148.602000,323.350000,16.367247,7.150328
-2.925900,-148.602000,323.350000,16.307163,7.099159
-2.625900,-148.602000,323.350000,16.709188,6.862061
-2.325900,-148.602000,323.350000,16.565325,6.999839
-2.025900,-148.602000,323.350000,16.643036,6.616983
-1.725900,-148.602000,323.350000,16.435919,6.869416
-1.425900,-148.602000,323.350000,16.704166,6.853633
-1.125900,-148.602000,323.350000,16.380688,6.537012
-0.825900,-148.602000,323.350000,16.852480,5.436736
-0.525900,-148.602000,323.350000,16.852345,5.108289
-0.225900,-148.602000,323.350000,16.874798,4.605563
0.074100,-148.602000,323.350000,16.906843,3.742733
0.374100,-148.602000,323.350000,17.262749,3.822637
0.674100,-148.602000,323.350000,17.080364,3.598175
0.974100,-148.602000,323.350000,16.906649,3.572689
1.274100,-148.602000,323.350000,16.869211,3.536091
1.574100,-148.602000,323.350000,17.148989,3.656523
1.874100,-148.602000,323.350000,17.129425,3.685171
2.174100,-148.602000,323.350000,17.152935,3.781770
2.474100,-148.602000,323.350000,16.910961,3.748558
2.774100,-148.602000,323.350000,17.320349,3.751592
3.074100,-148.602000,323.350000,17.269255,3.847767
3.374100,-148.602000,323.350000,17.244375,3.753758
3.674100,-148.602000,323.350000,16.903276,3.926899
3.974100,-148.602000,323.350000,16.861237,3.858838
4.274100,-148.602000,323.350000,16.794310,3.811749
4.574100,-148.602000,323.350000,17.160089,3.943539
4.874100,-148.602000,323.350000,17.234394,3.861201
5.174100,-148.602000,323.350000,17.242546,3.967095
5.474100,-148.602000,323.350000,17.311554,3.847493
5.774100,-148.602000,323.350000,16.912718,3.897674
6.074100,-148.602000,323.350000,16.949192,4.014506
6.374100,-148.602000,323.350000,16.786772,3.910418
6.674100,-148.602000,323.350000,17.062744,4.024895
6.974100,-148.602000,323.350000,17.140251,4.108089
7.274100,-148.602000,323.350000,16.971254,4.155170
7.574100,-148.602000,323.350000,17.253855,4.353269
7.874100,-148.602000,323.350000,17.107361,4.711307
8.174100,-148.602000,323.350000,17.000378,4.853156
8.474100,-148.602000,323.350000,16.723669,5.249390
8.774100,-148.602000,323.350000,16.291918,6.881416
9.074100,-148.602000,323.350000,16.043451,7.365856
9.374100,-148.602000,323.350000,16.103937,7.447493
25.574100,-148.602000,323.350000,14.706784,10.263682
25.874100,-148.602000,323.350000,14.242927,10.406704
-17.925900,-148.302000,323.350000,15.937889,7.954634
-17.625900,-148.302000,323.350000,16.327742,6.400431
-17.325900,-148.302000,323.350000,16.120783,6.064325
-17.025900,-148.302000,323.350000,15.990722,6.514359
-16.725900,-148.302000,323.350000,15.777634,7.707374
-16.425900,-148.302000,323.350000,15.804298,7.839233
-16.125900,-148.302000,323.350000,15.708074,7.881620
-15.825900,-148.302000,323.350000,15.811797,7.616702
-15.525900,-148.302000,323.350000,15.982409,7.846106
-15.225900,-148.302000,323.350000,16.022085,7.816171
-14.925900,-148.302000,323.350000,15.803316,7.611665
-14.625900,-148.302000,323.350000,15.980471,7.540221
