x_mm,y_mm,z_mm,LET_keV_per_um,Physical_dose
-17.625900,-148.602000,323.050000,1.287421,7.970460
-17.325900,-148.602000,323.050000,1.295973,7.905496
-17.025900,-148.602000,323.050000,1.286929,7.943571
-16.725900,-148.602000,323.050000,1.313822,7.894972
-16.425900,-148.602000,323.050000,1.278629,7.918417
-16.125900,-148.602000,323.050000,1.288483,7.881626
-15.825900,-148.602000,323.050000,1.267998,7.886441
-15.525900,-148.602000,323.050000,1.314283,7.881329
-15.225900,-148.602000,323.050000,1.296535,7.926941
-14.925900,-148.602000,323.050000,1.273829,7.889215
-14.625900,-148.602000,323.050000,1.267290,7.895907
-14.325900,-148.602000,323.050000,1.339483,7.945186
-14.025900,-148.602000,323.050000,1.300660,7.969942
-13.725900,-148.602000,323.050000,1.282422,7.899868
-13.425900,-148.602000,323.050000,1.315651,7.924461
-13.125900,-148.602000,323.050000,1.293706,8.001786
-12.825900,-148.602000,323.050000,1.329765,7.988266
-12.525900,-148.602000,323.050000,1.311657,7.966533
-12.225900,-148.602000,323.050000,1.270814,7.968095
-11.925900,-148.602000,323.050000,1.286158,7.928034
-11.625900,-148.602000,323.050000,1.297814,7.939186
-11.325900,-148.602000,323.050000,1.277530,7.867756
-11.025900,-148.602000,323.050000,1.274209,7.891226
-10.725900,-148.602000,323.050000,1.307623,7.893847
-10.425900,-148.602000,323.050000,1.274221,7.876848
-10.125900,-148.602000,323.050000,1.300106,7.946359
-9.825900,-148.602000,323.050000,1.295317,7.868393
-9.525900,-148.602000,323.050000,1.314265,7.859047
-9.225900,-148.602000,323.050000,1.309595,7.855577
-8.925900,-148.602000,323.050000,1.285132,7.930032
-8.625900,-148.602000,323.050000,1.294257,7.914155
-8.325900,-148.602000,323.050000,1.317974,7.938470
-8.025900,-148.602000,323.050000,1.289725,7.873704
-7.725900,-148.602000,323.050000,1.276760,7.917376
-7.425900,-148.602000,323.050000,1.272445,7.906312
-7.125900,-148.602000,323.050000,1.271745,7.920348
-6.825900,-148.602000,323.050000,1.273819,7.895843
-6.525900,-148.602000,323.050000,1.291126,7.836733
-6.225900,-148.602000,323.050000,1.275101,7.872181
-5.925900,-148.602000,323.050000,1.336955,7.952949
-5.625900,-148.602000,323.050000,1.291201,7.879755
-5.325900,-148.602000,323.050000,1.288263,7.907347
-5.025900,-148.602000,323.050000,1.293895,7.858653
-4.725900,-148.602000,323.050000,1.270323,7.877957
-4.425900,-148.602000,323.050000,1.272608,7.893638
-4.125900,-148.602000,323.050000,1.303419,7.888454
-3.825900,-148.602000,323.050000,1.281347,7.858403
-3.525900,-148.602000,323.050000,1.314587,7.899399
-3.225900,-148.602000,323.050000,1.290620,7.910949
-2.925900,-148.602000,323.050000,1.287059,7.888399
-2.625900,-148.602000,323.050000,1.288352,7.878346
-2.325900,-148.602000,323.050000,1.288686,7.927129
-2.025900,-148.602000,323.050000,1.292251,7.909298
-1.725900,-148.602000,323.050000,1.297271,7.920084
-1.425900,-148.602000,323.050000,1.250349,7.867488
-1.125900,-148.602000,323.050000,1.258351,7.846548
-0.825900,-148.602000,323.050000,1.303964,7.922961
-0.525900,-148.602000,323.050000,1.309687,7.904172
-0.225900,-148.602000,323.050000,1.276742,7.879208
0.074100,-148.602000,323.050000,1.305099,7.938963
0.374100,-148.602000,323.050000,1.300670,7.932060
0.674100,-148.602000,323.050000,1.298011,7.909896
0.974100,-148.602000,323.050000,1.314075,7.935505
1.274100,-148.602000,323.050000,1.306620,7.958527
1.574100,-148.602000,323.050000,1.315020,7.923133
1.874100,-148.602000,323.050000,1.281488,7.856691
2.174100,-148.602000,323.050000,1.304482,7.974841
2.474100,-148.602000,323.050000,1.325311,7.931916
2.774100,-148.602000,323.050000,1.275560,7.962680
3.074100,-148.602000,323.050000,1.307312,7.962898
3.374100,-148.602000,323.050000,1.304905,7.911725
3.674100,-148.602000,323.050000,1.288748,7.943770
3.974100,-148.602000,323.050000,1.293659,7.931691
4.274100,-148.602000,323.050000,1.270816,7.987990
4.574100,-148.602000,323.050000,1.294740,7.971946
4.874100,-148.602000,323.050000,1.261777,7.927181
5.174100,-148.602000,323.050000,1.278547,7.919276
5.474100,-148.602000,323.050000,1.303872,7.918580
5.774100,-148.602000,323.050000,1.295193,8.009373
6.074100,-148.602000,323.050000,1.305576,7.912144
6.374100,-148.602000,323.050000,1.265572,7.904352
6.674100,-148.602000,323.050000,1.284727,7.894623
-17.325900,-148.302000,323.050000,1.300982,7.893176
-17.025900,-148.302000,323.050000,1.278558,7.910368
-16.725900,-148.302000,323.050000,1.280365,7.866003
-16.425900,-148.302000,323.050000,1.287140,7.901738
-16.125900,-148.302000,323.050000,1.273417,7.844168
-15.825900,-148.302000,323.050000,1.271663,7.857713
-15.525900,-148.302000,323.050000,1.286224,7.841777
-15.225900,-148.302000,323.050000,1.275792,7.897575
