x_mm,y_mm,z_mm,LET_keV_per_um,Physical_dose
-17.625900,-148.602000,323.050000,1.287421,1.992664
-17.325900,-148.602000,323.050000,1.295973,1.976423
-17.025900,-148.602000,323.050000,1.286929,1.985942
-16.725900,-148.602000,323.050000,1.313822,1.973792
-16.425900,-148.602000,323.050000,1.278629,1.979653
-16.125900,-148.602000,323.050000,1.288483,1.970455
-15.825900,-148.602000,323.050000,1.267998,1.971659
-15.525900,-148.602000,323.050000,1.314283,1.970381
-15.225900,-148.602000,323.050000,1.296535,1.981784
-14.925900,-148.602000,323.050000,1.273829,1.972352
-14.625900,-148.602000,323.050000,1.267290,1.974025
-14.325900,-148.602000,323.050000,1.339483,1.986346
-14.025900,-148.602000,323.050000,1.300660,1.992535
-13.725900,-148.602000,323.050000,1.282422,1.975016
-13.425900,-148.602000,323.050000,1.315651,1.981164
-13.125900,-148.602000,323.050000,1.293706,2.000496
-12.825900,-148.602000,323.050000,1.329765,1.997116
-12.525900,-148.602000,323.050000,1.311657,1.991682
-12.225900,-148.602000,323.050000,1.270814,1.992073
-11.925900,-148.602000,323.050000,1.286158,1.982058
-11.625900,-148.602000,323.050000,1.297814,1.984845
-11.325900,-148.602000,323.050000,1.277530,1.966988
-11.025900,-148.602000,323.050000,1.274209,1.972855
-10.725900,-148.602000,323.050000,1.307623,1.973510
-10.425900,-148.602000,323.050000,1.274221,1.969261
-10.125900,-148.602000,323.050000,1.300106,1.986639
-9.825900,-148.602000,323.050000,1.295317,1.967147
-9.525900,-148.602000,323.050000,1.314265,1.964810
-9.225900,-148.602000,323.050000,1.309595,1.963943
-8.925900,-148.602000,323.050000,1.285132,1.982557
-8.625900,-148.602000,323.050000,1.294257,1.978588
-8.325900,-148.602000,323.050000,1.317974,1.984667
-8.025900,-148.602000,323.050000,1.289725,1.968475
-7.725900,-148.602000,323.050000,1.276760,1.979393
-7.425900,-148.602000,323.050000,1.272445,1.976627
-7.125900,-148.602000,323.050000,1.271745,1.980136
