x_mm,y_mm,z_mm,LET_keV_per_um,Physical_dose
-17.625900,-148.602000,323.050000,16.207006,1.120601
-17.325900,-148.602000,323.050000,16.074133,1.008748
-17.025900,-148.602000,323.050000,15.954574,0.992750
-16.725900,-148.602000,323.050000,16.031212,1.137078
-16.425900,-148.602000,323.050000,16.121538,1.136369
-16.125900,-148.602000,323.050000,16.124359,1.190603
-15.825900,-148.602000,323.050000,16.375700,1.135250
-15.525900,-148.602000,323.050000,16.300760,1.095654
-15.225900,-148.602000,323.050000,16.688801,1.075991
-14.925900,-148.602000,323.050000,16.311388,1.100771
-14.625900,-148.602000,323.050000,16.190075,1.050216
-14.325900,-148.602000,323.050000,16.503391,1.034875
-14.025900,-148.602000,323.050000,16.401478,1.002402
-13.725900,-148.602000,323.050000,16.319410,0.983254
-13.425900,-148.602000,323.050000,16.156088,1.009499
-13.125900,-148.602000,323.050000,16.472965,0.985188
-12.825900,-148.602000,323.050000,16.490774,1.007812
-12.525900,-148.602000,323.050000,16.559221,1.012108
-12.225900,-148.602000,323.050000,16.569761,1.048544
-11.925900,-148.602000,323.050000,16.536192,1.074331
-11.625900,-148.602000,323.050000,16.601608,1.261340
-11.325900,-148.602000,323.050000,16.281630,1.569726
-11.025900,-148.602000,323.050000,16.263197,1.714613
-10.725900,-148.602000,323.050000,16.000702,1.828660
-10.425900,-148.602000,323.050000,15.513400,2.062541
-10.125900,-148.602000,323.050000,15.641707,2.143471
-9.825900,-148.602000,323.050000,15.619326,2.112034
-9.525900,-148.602000,323.050000,15.543746,2.153844
-9.225900,-148.602000,323.050000,15.507216,2.151044
-8.925900,-148.602000,323.050000,15.444994,2.194634
-8.625900,-148.602000,323.050000,15.594337,2.194513
-8.325900,-148.602000,323.050000,15.572284,2.146211
-8.025900,-148.602000,323.050000,15.586245,2.127697
-7.725900,-148.602000,323.050000,15.541420,2.110297
-7.425900,-148.602000,323.050000,15.593951,2.107063
-7.125900,-148.602000,323.050000,15.292834,2.164851
-6.825900,-148.602000,323.050000,15.639476,2.129127
