x_mm,y_mm,z_mm,LET_keV_per_um,Physical_dose
-18.365900,-149.342000,323.050000,12.840650,0.411012
-17.485900,-149.342000,323.050000,11.482148,0.305667
-16.605900,-149.342000,323.050000,13.381052,0.351844
-15.725900,-149.342000,323.050000,13.585823,0.341640
-14.845900,-149.342000,323.050000,13.574295,0.350783
-13.965900,-149.342000,323.050000,13.910344,0.328483
-13.085900,-149.342000,323.050000,14.271964,0.354321
-12.205900,-149.342000,323.050000,14.319893,0.345554
-11.325900,-149.342000,323.050000,15.672098,0.450798
-10.445900,-149.342000,323.050000,15.777260,0.547683
-9.565900,-149.342000,323.050000,16.220179,0.538505
-8.685900,-149.342000,323.050000,16.013050,0.540282
-7.805900,-149.342000,323.050000,16.288500,0.521624
-6.925900,-149.342000,323.050000,16.289104,0.540031
-6.045900,-149.342000,323.050000,16.245207,0.500706
-5.165900,-149.342000,323.050000,15.906505,0.507100
-4.285900,-149.342000,323.050000,16.076508,0.525815
-3.405900,-149.342000,323.050000,16.203844,0.531708
-2.525900,-149.342000,323.050000,16.115223,0.510716
-1.645900,-149.342000,323.050000,15.839281,0.479229
-0.765900,-149.342000,323.050000,15.261232,0.378320
0.114100,-149.342000,323.050000,14.184626,0.300247
0.994100,-149.342000,323.050000,14.196979,0.292698
1.874100,-149.342000,323.050000,13.836881,0.286054
2.754100,-149.342000,323.050000,13.668756,0.291219
3.634100,-149.342000,323.050000,14.320060,0.303273
4.514100,-149.342000,323.050000,13.848462,0.305446
5.394100,-149.342000,323.050000,14.394324,0.297892
6.274100,-149.342000,323.050000,13.623270,0.292456
7.154100,-149.342000,323.050000,14.401341,0.333125
8.034100,-149.342000,323.050000,15.059160,0.393221
8.914100,-149.342000,323.050000,16.101324,0.588097
9.794100,-149.342000,323.050000,16.468185,0.712978
10.674100,-149.342000,323.050000,16.447567,0.760559
11.554100,-149.342000,323.050000,16.502993,0.736467
12.434100,-149.342000,323.050000,16.449829,0.769789
13.314100,-149.342000,323.050000,16.658712,0.780312
14.194100,-149.342000,323.050000,16.472198,0.805969
15.074100,-149.342000,323.050000,16.665487,0.833416
15.954100,-149.342000,323.050000,16.668631,0.881535
16.834100,-149.342000,323.050000,16.399729,0.890980
17.714100,-149.342000,323.050000,16.383257,0.918864
18.594100,-149.342000,323.050000,16.322876,0.857606
19.474100,-149.342000,323.050000,15.907964,0.612805
20.354100,-149.342000,323.050000,14.995943,0.500626
21.234100,-149.342000,323.050000,14.285558,0.396227
22.114100,-149.342000,323.050000,13.147099,0.365559
22.994100,-149.342000,323.050000,14.194483,0.482569
23.874100,-149.342000,323.050000,14.447238,0.541399
24.754100,-149.342000,323.050000,13.651946,0.588437
25.634100,-149.342000,323.050000,14.259204,1.075098
-18.365900,-148.462000,323.050000,15.976110,1.312127
-17.485900,-148.462000,323.050000,16.052792,1.185288
-16.605900,-148.462000,323.050000,15.860774,1.468747
-15.725900,-148.462000,323.050000,16.108038,1.474745
-14.845900,-148.462000,323.050000,16.092716,1.482607
-13.965900,-148.462000,323.050000,16.059406,1.453622
-13.085900,-148.462000,323.050000,15.824916,1.468723
-12.205900,-148.462000,323.050000,16.247286,1.542107
-11.325900,-148.462000,323.050000,15.648636,1.824481
-10.445900,-148.462000,323.050000,15.433265,2.083861
-9.565900,-148.462000,323.050000,15.296643,2.065941
-8.685900,-148.462000,323.050000,15.369075,2.127534
-7.805900,-148.462000,323.050000,15.463409,2.120106
-6.925900,-148.462000,323.050000,15.355702,2.073590
-6.045900,-148.462000,323.050000,15.563565,2.019942
-5.165900,-148.462000,323.050000,15.477219,2.016404
-4.285900,-148.462000,323.050000,15.439649,2.083069
-3.405900,-148.462000,323.050000,15.359952,2.057306
-2.525900,-148.462000,323.050000,15.532285,2.003837
-1.645900,-148.462000,323.050000,15.581275,1.980273
-0.765900,-148.462000,323.050000,16.096233,1.646927
0.114100,-148.462000,323.050000,16.360863,1.301007
0.994100,-148.462000,323.050000,16.528524,1.311142
1.874100,-148.462000,323.050000,16.576872,1.243945
2.754100,-148.462000,323.050000,16.557789,1.276491
3.634100,-148.462000,323.050000,16.484627,1.293747
4.514100,-148.462000,323.050000,16.388390,1.315889
5.394100,-148.462000,323.050000,16.360552,1.304196
6.274100,-148.462000,323.050000,16.563627,1.271375
7.154100,-148.462000,323.050000,16.369566,1.402834
8.034100,-148.462000,323.050000,16.099478,1.621598
8.914100,-148.462000,323.050000,15.326756,2.119804
9.794100,-148.462000,323.050000,14.986732,2.364316
10.674100,-148.462000,323.050000,14.861694,2.449161
11.554100,-148.462000,323.050000,14.979375,2.413110
12.434100,-148.462000,323.050000,14.883931,2.442828
13.314100,-148.462000,323.050000,14.785209,2.503429
14.194100,-148.462000,323.050000,14.848895,2.525740
15.074100,-148.462000,323.050000,14.713943,2.572030
15.954100,-148.462000,323.050000,14.650599,2.692859
16.834100,-148.462000,323.050000,14.600754,2.608408
17.714100,-148.462000,323.050000,14.703592,2.676977
18.594100,-148.462000,323.050000,14.792295,2.546251
19.474100,-148.462000,323.050000,15.347539,1.979448
20.354100,-148.462000,323.050000,15.890332,1.741686
21.234100,-148.462000,323.050000,15.910930,1.501248
22.114100,-148.462000,323.050000,15.919021,1.391915
22.994100,-148.462000,323.050000,15.671228,1.594908
23.874100,-148.462000,323.050000,15.656398,1.577867
24.754100,-148.462000,323.050000,15.471868,1.563055
25.634100,-148.462000,323.050000,14.417315,2.041630
-19.245900,-149.342000,324.050000,15.188151,1.996999
-18.365900,-149.342000,324.050000,11.309854,0.305611
-17.485900,-149.342000,324.050000,13.456130,0.365112
-16.605900,-149.342000,324.050000,15.320918,0.469100
-15.725900,-149.342000,324.050000,15.278621,0.509299
-14.845900,-149.342000,324.050000,15.729487,0.494461
-13.965900,-149.342000,324.050000,15.693580,0.481443
-13.085900,-149.342000,324.050000,15.873759,0.493502
-12.205900,-149.342000,324.050000,15.585670,0.465279
-11.325900,-149.342000,324.050000,16.207106,0.501121
-10.445900,-149.342000,324.050000,16.036715,0.511667
-9.565900,-149.342000,324.050000,16.435730,0.512903
-8.685900,-149.342000,324.050000,16.218771,0.493033
-7.805900,-149.342000,324.050000,16.089666,0.522553
-6.925900,-149.342000,324.050000,16.437691,0.489977
-6.045900,-149.342000,324.050000,16.526152,0.477805
-5.165900,-149.342000,324.050000,16.596193,0.485410
-4.285900,-149.342000,324.050000,16.301590,0.492170
-3.405900,-149.342000,324.050000,16.496927,0.487888
-2.525900,-149.342000,324.050000,16.341002,0.459699
-1.645900,-149.342000,324.050000,16.677673,0.476705
-0.765900,-149.342000,324.050000,16.135592,0.465250
0.114100,-149.342000,324.050000,15.955007,0.399101
0.994100,-149.342000,324.050000,15.879120,0.410071
1.874100,-149.342000,324.050000,16.071577,0.402129
2.754100,-149.342000,324.050000,16.246012,0.398943
3.634100,-149.342000,324.050000,16.188396,0.409269
4.514100,-149.342000,324.050000,16.249762,0.393398
5.394100,-149.342000,324.050000,15.708478,0.392410
6.274100,-149.342000,324.050000,15.949140,0.385954
