x_mm,y_mm,z_mm,LET_keV_per_um,Physical_dose
-17.625900,-148.602000,323.050000,16.161127,1.152121
-17.325900,-148.602000,323.050000,16.055632,0.996650
-17.025900,-148.602000,323.050000,16.188152,1.030699
-16.725900,-148.602000,323.050000,16.243782,1.138826
-16.425900,-148.602000,323.050000,16.242226,1.169653
-16.125900,-148.602000,323.050000,16.333838,1.163477
-15.825900,-148.602000,323.050000,16.160238,1.164435
-15.525900,-148.602000,323.050000,16.228046,1.123363
-15.225900,-148.602000,323.050000,16.438726,1.110854
-14.925900,-148.602000,323.050000,16.795343,1.071479
-14.625900,-148.602000,323.050000,16.394623,1.049981
-14.325900,-148.602000,323.050000,16.564457,1.067582
-14.025900,-148.602000,323.050000,16.341703,1.035147
-13.725900,-148.602000,323.050000,16.445730,1.013289
-13.425900,-148.602000,323.050000,16.527048,1.028211
-13.125900,-148.602000,323.050000,16.339994,1.000214
-12.825900,-148.602000,323.050000,16.412863,1.015481
-12.525900,-148.602000,323.050000,16.540264,1.000847
-12.225900,-148.602000,323.050000,16.258291,1.040519
-11.925900,-148.602000,323.050000,16.198360,1.079109
-11.625900,-148.602000,323.050000,16.577658,1.293903
-11.325900,-148.602000,323.050000,16.251738,1.581717
-11.025900,-148.602000,323.050000,16.296377,1.668038
-10.725900,-148.602000,323.050000,15.907142,1.863251
-10.425900,-148.602000,323.050000,15.473933,2.142717
-10.125900,-148.602000,323.050000,15.682837,2.147367
-9.825900,-148.602000,323.050000,15.599953,2.148158
-9.525900,-148.602000,323.050000,15.646800,2.211597
-9.225900,-148.602000,323.050000,15.515375,2.177516
-8.925900,-148.602000,323.050000,15.646935,2.215212
-8.625900,-148.602000,323.050000,15.525705,2.152853
-8.325900,-148.602000,323.050000,15.550941,2.140435
-8.025900,-148.602000,323.050000,15.552996,2.136472
-7.725900,-148.602000,323.050000,15.685892,2.133292
-7.425900,-148.602000,323.050000,15.705626,2.137365
-7.125900,-148.602000,323.050000,15.510829,2.123538
-6.825900,-148.602000,323.050000,15.302152,2.143759
-6.525900,-148.602000,323.050000,15.649132,2.167192
-6.225900,-148.602000,323.050000,15.445357,2.130094
-5.925900,-148.602000,323.050000,15.502357,2.158655
-5.625900,-148.602000,323.050000,15.757396,2.138813
-5.325900,-148.602000,323.050000,15.482920,2.203229
-5.025900,-148.602000,323.050000,15.598836,2.172769
-4.725900,-148.602000,323.050000,15.658539,2.210393
-4.425900,-148.602000,323.050000,15.429320,2.215850
-4.125900,-148.602000,323.050000,15.459270,2.249039
-3.825900,-148.602000,323.050000,15.720778,2.284559
-3.525900,-148.602000,323.050000,15.494387,2.272596
-3.225900,-148.602000,323.050000,15.476135,2.212417
-2.925900,-148.602000,323.050000,15.645736,2.158489
-2.625900,-148.602000,323.050000,15.583659,2.139768
-2.325900,-148.602000,323.050000,15.443130,2.143780
-2.025900,-148.602000,323.050000,15.603426,2.192059
