x_mm,y_mm,z_mm,LET_keV_per_um,Physical_dose
-17.625900,-148.602000,323.050000,1.266730,1.986605
-17.325900,-148.602000,323.050000,1.303732,1.966699
-17.025900,-148.602000,323.050000,1.300226,1.978661
-16.725900,-148.602000,323.050000,1.276866,1.968292
-16.425900,-148.602000,323.050000,1.294145,1.973172
-16.125900,-148.602000,323.050000,1.274219,1.965631
-15.825900,-148.602000,323.050000,1.271922,1.965690
-15.525900,-148.602000,323.050000,1.284173,1.957855
-15.225900,-148.602000,323.050000,1.301860,1.971981
-14.925900,-148.602000,323.050000,1.259142,1.968296
-14.625900,-148.602000,323.050000,1.318456,1.971811
-14.325900,-148.602000,323.050000,1.317615,1.985592
-14.025900,-148.602000,323.050000,1.260573,1.975792
-13.725900,-148.602000,323.050000,1.257966,1.970349
-13.425900,-148.602000,323.050000,1.288545,1.970732
-13.125900,-148.602000,323.050000,1.280639,1.993427
-12.825900,-148.602000,323.050000,1.273755,1.981410
-12.525900,-148.602000,323.050000,1.267149,1.980485
-12.225900,-148.602000,323.050000,1.283110,1.983510
-11.925900,-148.602000,323.050000,1.282694,1.977565
-11.625900,-148.602000,323.050000,1.292938,1.977357
-11.325900,-148.602000,323.050000,1.301244,1.962007
-11.025900,-148.602000,323.050000,1.272654,1.963269
-10.725900,-148.602000,323.050000,1.283628,1.960564
-10.425900,-148.602000,323.050000,1.239931,1.966621
-10.125900,-148.602000,323.050000,1.273428,1.971081
-9.825900,-148.602000,323.050000,1.288184,1.962279
-9.525900,-148.602000,323.050000,1.292280,1.953667
-9.225900,-148.602000,323.050000,1.260136,1.948359
-8.925900,-148.602000,323.050000,1.264647,1.974450
-8.625900,-148.602000,323.050000,1.278188,1.965618
-8.325900,-148.602000,323.050000,1.277991,1.977023
-8.025900,-148.602000,323.050000,1.280464,1.958117
-7.725900,-148.602000,323.050000,1.254626,1.970312
-7.425900,-148.602000,323.050000,1.263903,1.966552
-7.125900,-148.602000,323.050000,1.252184,1.960643
-6.825900,-148.602000,323.050000,1.305973,1.966098
-6.525900,-148.602000,323.050000,1.275019,1.953804
-6.225900,-148.602000,323.050000,1.291065,1.958379
-5.925900,-148.602000,323.050000,1.294315,1.966064
-5.625900,-148.602000,323.050000,1.270070,1.969583
-5.325900,-148.602000,323.050000,1.291654,1.967480
-5.025900,-148.602000,323.050000,1.265110,1.958960
-4.725900,-148.602000,323.050000,1.274475,1.963919
-4.425900,-148.602000,323.050000,1.275056,1.970706
-4.125900,-148.602000,323.050000,1.281415,1.977323
-3.825900,-148.602000,323.050000,1.240209,1.960104
-3.525900,-148.602000,323.050000,1.273219,1.959268
-3.225900,-148.602000,323.050000,1.265274,1.971664
-2.925900,-148.602000,323.050000,1.278283,1.967301
-2.625900,-148.602000,323.050000,1.276397,1.957758
-2.325900,-148.602000,323.050000,1.276277,1.965072
-2.025900,-148.602000,323.050000,1.261160,1.972829
-1.725900,-148.602000,323.050000,1.278049,1.975255
-1.425900,-148.602000,323.050000,1.256518,1.960660
-1.125900,-148.602000,323.050000,1.251335,1.953395
-0.825900,-148.602000,323.050000,1.274049,1.961117
-0.525900,-148.602000,323.050000,1.295487,1.969899
-0.225900,-148.602000,323.050000,1.280816,1.974809
0.074100,-148.602000,323.050000,1.281058,1.976231
0.374100,-148.602000,323.050000,1.286981,1.974826
0.674100,-148.602000,323.050000,1.297393,1.970781
0.974100,-148.602000,323.050000,1.311870,1.981611
1.274100,-148.602000,323.050000,1.265335,1.971824
1.574100,-148.602000,323.050000,1.297363,1.974989
1.874100,-148.602000,323.050000,1.268511,1.958983
2.174100,-148.602000,323.050000,1.283793,1.982066
2.474100,-148.602000,323.050000,1.273481,1.979156
2.774100,-148.602000,323.050000,1.263691,1.978805
3.074100,-148.602000,323.050000,1.287081,1.975029
3.374100,-148.602000,323.050000,1.276467,1.973378
3.674100,-148.602000,323.050000,1.296899,1.969297
3.974100,-148.602000,323.050000,1.319355,1.978296
4.274100,-148.602000,323.050000,1.293955,1.989415
4.574100,-148.602000,323.050000,1.275254,1.976546
4.874100,-148.602000,323.050000,1.278679,1.984828
5.174100,-148.602000,323.050000,1.265233,1.978617
5.474100,-148.602000,323.050000,1.307413,1.972461
5.774100,-148.602000,323.050000,1.272574,1.980310
6.074100,-148.602000,323.050000,1.272610,1.971309
6.374100,-148.602000,323.050000,1.265903,1.974743
6.674100,-148.602000,323.050000,1.272129,1.969120
-17.325900,-148.302000,323.050000,1.287565,1.964332
-17.025900,-148.302000,323.050000,1.287594,1.978485
-16.725900,-148.302000,323.050000,1.272803,1.954961
-16.425900,-148.302000,323.050000,1.271586,1.961612
-16.125900,-148.302000,323.050000,1.273935,1.955633
-15.825900,-148.302000,323.050000,1.279475,1.960816
-15.525900,-148.302000,323.050000,1.269093,1.951752
-15.225900,-148.302000,323.050000,1.276251,1.967241
-14.925900,-148.302000,323.050000,1.270361,1.962486
-14.625900,-148.302000,323.050000,1.275846,1.953779
-14.325900,-148.302000,323.050000,1.271581,1.975395
-14.025900,-148.302000,323.050000,1.266039,1.970089
-13.725900,-148.302000,323.050000,1.266709,1.968180
-13.425900,-148.302000,323.050000,1.296897,1.968011
-13.125900,-148.302000,323.050000,1.285204,1.982653
-12.825900,-148.302000,323.050000,1.263551,1.969477
-12.525900,-148.302000,323.050000,1.280075,1.975028
-12.225900,-148.302000,323.050000,1.303732,1.979834
-11.925900,-148.302000,323.050000,1.280127,1.963338
-11.625900,-148.302000,323.050000,1.260816,1.964788
-11.325900,-148.302000,323.050000,1.257774,1.961220
-11.025900,-148.302000,323.050000,1.266913,1.955985
-10.725900,-148.302000,323.050000,1.271935,1.955038
-10.425900,-148.302000,323.050000,1.252228,1.955137
-10.125900,-148.302000,323.050000,1.292071,1.964972
-9.825900,-148.302000,323.050000,1.253533,1.951699
-9.525900,-148.302000,323.050000,1.281871,1.950608
-9.225900,-148.302000,323.050000,1.287007,1.947253
-8.925900,-148.302000,323.050000,1.250403,1.969789
-8.625900,-148.302000,323.050000,1.266828,1.957280
-8.325900,-148.302000,323.050000,1.267235,1.962866
-8.025900,-148.302000,323.050000,1.304484,1.954279
-7.725900,-148.302000,323.050000,1.246610,1.958802
-7.425900,-148.302000,323.050000,1.262836,1.959978
-7.125900,-148.302000,323.050000,1.260961,1.952109
-6.825900,-148.302000,323.050000,1.271916,1.957678
