x_mm,y_mm,z_mm,LET_keV_per_um,Physical_dose
-17.625900,-148.602000,323.050000,1.236152,1.981928
-17.325900,-148.602000,323.050000,1.263527,1.983412
-17.025900,-148.602000,323.050000,1.252534,1.998260
-16.725900,-148.602000,323.050000,1.272397,2.005847
-16.425900,-148.602000,323.050000,1.258691,1.999637
-16.125900,-148.602000,323.050000,1.270062,1.988670
-15.825900,-148.602000,323.050000,1.281188,2.005858
-15.525900,-148.602000,323.050000,1.290441,2.007509
-15.225900,-148.602000,323.050000,1.289339,1.995617
-14.925900,-148.602000,323.050000,1.293658,1.997764
-14.625900,-148.602000,323.050000,1.283618,1.999474
-14.325900,-148.602000,323.050000,1.279171,2.013015
-14.025900,-148.602000,323.050000,1.271990,2.010561
-13.725900,-148.602000,323.050000,1.287130,2.000749
-13.425900,-148.602000,323.050000,1.306529,2.014922
-13.125900,-148.602000,323.050000,1.265863,2.002825
-12.825900,-148.602000,323.050000,1.310238,2.008940
-12.525900,-148.602000,323.050000,1.250954,2.002306
-12.225900,-148.602000,323.050000,1.268947,2.003457
-11.925900,-148.602000,323.050000,1.271412,2.002328
-11.625900,-148.602000,323.050000,1.286622,2.004000
-11.325900,-148.602000,323.050000,1.274374,1.991894
-11.025900,-148.602000,323.050000,1.263488,1.986751
-10.725900,-148.602000,323.050000,1.298789,2.004037
-10.425900,-148.602000,323.050000,1.249700,1.988655
-10.125900,-148.602000,323.050000,1.273032,1.984661
-9.825900,-148.602000,323.050000,1.289726,1.999065
-9.525900,-148.602000,323.050000,1.249127,1.984220
-9.225900,-148.602000,323.050000,1.261811,1.979145
-8.925900,-148.602000,323.050000,1.272678,1.978417
-8.625900,-148.602000,323.050000,1.279073,1.990213
-8.325900,-148.602000,323.050000,1.287708,1.992178
-8.025900,-148.602000,323.050000,1.296852,1.975152
-7.725900,-148.602000,323.050000,1.292189,1.997439
-7.425900,-148.602000,323.050000,1.270053,1.990823
-7.125900,-148.602000,323.050000,1.283008,1.984369
-6.825900,-148.602000,323.050000,1.275148,1.974140
-6.525900,-148.602000,323.050000,1.283662,1.996471
-6.225900,-148.602000,323.050000,1.257692,1.983839
-5.925900,-148.602000,323.050000,1.258343,1.988091
-5.625900,-148.602000,323.050000,1.258231,1.973404
-5.325900,-148.602000,323.050000,1.273894,1.989137
-5.025900,-148.602000,323.050000,1.266623,1.989852
-4.725900,-148.602000,323.050000,1.281646,1.979313
-4.425900,-148.602000,323.050000,1.299643,1.995111
-4.125900,-148.602000,323.050000,1.274348,1.986268
-3.825900,-148.602000,323.050000,1.305494,1.991195
-3.525900,-148.602000,323.050000,1.271693,1.992195
-3.225900,-148.602000,323.050000,1.276606,1.995066
-2.925900,-148.602000,323.050000,1.255123,1.992310
-2.625900,-148.602000,323.050000,1.273896,1.989950
-2.325900,-148.602000,323.050000,1.276247,1.993211
-2.025900,-148.602000,323.050000,1.270895,1.998274
-1.725900,-148.602000,323.050000,1.274258,1.981012
-1.425900,-148.602000,323.050000,1.239941,1.990531
-1.125900,-148.602000,323.050000,1.299164,1.993724
-0.825900,-148.602000,323.050000,1.283010,2.004915
-0.525900,-148.602000,323.050000,1.311844,1.996756
-0.225900,-148.602000,323.050000,1.259370,2.007924
0.074100,-148.602000,323.050000,1.287938,1.999365
0.374100,-148.602000,323.050000,1.281050,2.008360
0.674100,-148.602000,323.050000,1.300354,2.005516
0.974100,-148.602000,323.050000,1.288229,2.018271
1.274100,-148.602000,323.050000,1.294235,1.992935
1.574100,-148.602000,323.050000,1.279530,2.008665
1.874100,-148.602000,323.050000,1.299898,1.987615
2.174100,-148.602000,323.050000,1.273514,2.004149
2.474100,-148.602000,323.050000,1.287097,2.002051
2.774100,-148.602000,323.050000,1.288833,1.996469
3.074100,-148.602000,323.050000,1.300510,2.008509
3.374100,-148.602000,323.050000,1.293157,2.004396
3.674100,-148.602000,323.050000,1.278481,2.008017
3.974100,-148.602000,323.050000,1.287762,1.998156
4.274100,-148.602000,323.050000,1.286650,2.016018
4.574100,-148.602000,323.050000,1.294279,2.011572
4.874100,-148.602000,323.050000,1.260069,2.001774
5.174100,-148.602000,323.050000,1.300448,1.997083
5.474100,-148.602000,323.050000,1.308311,2.004740
5.774100,-148.602000,323.050000,1.286387,2.000113
6.074100,-148.602000,323.050000,1.259672,2.001531
6.374100,-148.602000,323.050000,1.296919,2.005461
6.674100,-148.602000,323.050000,1.296025,1.985431
-17.325900,-148.302000,323.050000,1.267055,1.978201
-17.025900,-148.302000,323.050000,1.283537,1.989201
-16.725900,-148.302000,323.050000,1.268402,2.007333
-16.425900,-148.302000,323.050000,1.271009,1.989213
-16.125900,-148.302000,323.050000,1.277319,1.983992
-15.825900,-148.302000,323.050000,1.259662,1.991304
-15.525900,-148.302000,323.050000,1.262622,1.999361
-15.225900,-148.302000,323.050000,1.283030,1.987259
-14.925900,-148.302000,323.050000,1.276418,1.994457
-14.625900,-148.302000,323.050000,1.268726,1.996009
-14.325900,-148.302000,323.050000,1.267393,2.000838
-14.025900,-148.302000,323.050000,1.265923,2.001191
-13.725900,-148.302000,323.050000,1.275321,1.991043
-13.425900,-148.302000,323.050000,1.265904,1.996179
-13.125900,-148.302000,323.050000,1.288259,1.991030
-12.825900,-148.302000,323.050000,1.302499,2.000698
-12.525900,-148.302000,323.050000,1.264126,1.995988
-12.225900,-148.302000,323.050000,1.277030,1.996977
-11.925900,-148.302000,323.050000,1.263240,1.991012
-11.625900,-148.302000,323.050000,1.260917,1.992177
-11.325900,-148.302000,323.050000,1.261092,1.987385
-11.025900,-148.302000,323.050000,1.278751,1.980347
-10.725900,-148.302000,323.050000,1.281059,1.990220
-10.425900,-148.302000,323.050000,1.262998,1.979521
-10.125900,-148.302000,323.050000,1.296248,1.975208
-9.825900,-148.302000,323.050000,1.276399,1.986615
-9.525900,-148.302000,323.050000,1.289824,1.982194
-9.225900,-148.302000,323.050000,1.282789,1.968578
-8.925900,-148.302000,323.050000,1.279230,1.976259
-8.625900,-148.302000,323.050000,1.292447,1.989478
-8.325900,-148.302000,323.050000,1.240765,1.987410
-8.025900,-148.302000,323.050000,1.280823,1.969931
-7.725900,-148.302000,323.050000,1.286966,1.990328
-7.425900,-148.302000,323.050000,1.269370,1.986740
-7.125900,-148.302000,323.050000,1.269481,1.974765
-6.825900,-148.302000,323.050000,1.276389,1.969240
-6.525900,-148.302000,323.050000,1.243149,1.984777
-6.225900,-148.302000,323.050000,1.288897,1.987039
-5.925900,-148.302000,323.050000,1.273246,1.980720
-5.625900,-148.302000,323.050000,1.285891,1.978186
-5.325900,-148.302000,323.050000,1.256647,1.980719
-5.025900,-148.302000,323.050000,1.262228,1.984226
-4.725900,-148.302000,323.050000,1.271574,1.972453
-4.425900,-148.302000,323.050000,1.297714,1.980107
-4.125900,-148.302000,323.050000,1.287922,1.981025
-3.825900,-148.302000,323.050000,1.294577,1.982637
-3.525900,-148.302000,323.050000,1.290622,1.986241
-3.225900,-148.302000,323.050000,1.257762,1.988516
-2.925900,-148.302000,323.050000,1.252963,1.977349
-2.625900,-148.302000,323.050000,1.309213,1.983846
-2.325900,-148.302000,323.050000,1.296697,1.994842
-2.025900,-148.302000,323.050000,1.268811,1.988582
-1.725900,-148.302000,323.050000,1.255123,1.975200
-1.425900,-148.302000,323.050000,1.276810,1.992630
-1.125900,-148.302000,323.050000,1.269198,1.987140
-0.825900,-148.302000,323.050000,1.273457,1.991855
-0.525900,-148.302000,323.050000,1.245672,1.989933
-0.225900,-148.302000,323.050000,1.271097,1.998464
0.074100,-148.302000,323.050000,1.257337,1.986337
0.374100,-148.302000,323.050000,1.282125,2.004274
0.674100,-148.302000,323.050000,1.287843,2.001448
0.974100,-148.302000,323.050000,1.277932,2.008396
1.274100,-148.302000,323.050000,1.300913,1.990816
1.574100,-148.302000,323.050000,1.297924,2.004268
1.874100,-148.302000,323.050000,1.285681,1.988747
2.174100,-148.302000,323.050000,1.259174,1.995171
2.474100,-148.302000,323.050000,1.294280,1.998378
2.774100,-148.302000,323.050000,1.281125,1.981727
3.074100,-148.302000,323.050000,1.275797,1.997246
3.374100,-148.302000,323.050000,1.298481,1.997687
3.674100,-148.302000,323.050000,1.292389,2.001201
3.974100,-148.302000,323.050000,1.252004,1.982350
4.274100,-148.302000,323.050000,1.283429,2.002754
4.574100,-148.302000,323.050000,1.270173,1.996124
4.874100,-148.302000,323.050000,1.283336,1.986664
5.174100,-148.302000,323.050000,1.279989,1.993118
5.474100,-148.302000,323.050000,1.271300,1.990649
5.774100,-148.302000,323.050000,1.265245,1.996432
6.074100,-148.302000,323.050000,1.251024,2.000471
6.374100,-148.302000,323.050000,1.278868,1.993809
6.674100,-148.302000,323.050000,1.293744,1.983554
-17.925900,-148.902000,323.350000,1.270885,1.999694
-17.625900,-148.902000,323.350000,1.269250,2.013355
-17.325900,-148.902000,323.350000,1.269684,2.001541
