x_mm,y_mm,z_mm,LET_keV_per_um,Physical_dose
-17.625900,-148.602000,323.050000,11.415903,1.583857
-17.325900,-148.602000,323.050000,11.634786,1.544518
-17.025900,-148.602000,323.050000,11.554887,1.522412
-16.725900,-148.602000,323.050000,11.571303,1.623438
-16.425900,-148.602000,323.050000,11.445694,1.598634
-16.125900,-148.602000,323.050000,11.479053,1.588109
-15.825900,-148.602000,323.050000,11.661088,1.593503
-15.525900,-148.602000,323.050000,11.581164,1.599187
-15.225900,-148.602000,323.050000,11.347366,1.559972
-14.925900,-148.602000,323.050000,11.616198,1.592183
-14.625900,-148.602000,323.050000,11.571508,1.584754
-14.325900,-148.602000,323.050000,11.677946,1.581006
-14.025900,-148.602000,323.050000,11.679338,1.569631
-13.725900,-148.602000,323.050000,11.622342,1.576334
-13.425900,-148.602000,323.050000,11.646772,1.582170
-13.125900,-148.602000,323.050000,11.657592,1.546174
-12.825900,-148.602000,323.050000,11.598384,1.576834
-12.525900,-148.602000,323.050000,11.575197,1.573519
-12.225900,-148.602000,323.050000,11.565866,1.584312
-11.925900,-148.602000,323.050000,11.660170,1.592673
-11.625900,-148.602000,323.050000,11.299706,1.634052
-11.325900,-148.602000,323.050000,10.916886,1.701502
-11.025900,-148.602000,323.050000,10.771566,1.739710
-10.725900,-148.602000,323.050000,10.674335,1.773405
-10.425900,-148.602000,323.050000,10.435702,1.824958
-10.125900,-148.602000,323.050000,10.377334,1.839488
-9.825900,-148.602000,323.050000,10.395473,1.851495
-9.525900,-148.602000,323.050000,10.243055,1.849211
-9.225900,-148.602000,323.050000,10.369727,1.864233
-8.925900,-148.602000,323.050000,10.332129,1.841344
-8.625900,-148.602000,323.050000,10.382943,1.820278
-8.325900,-148.602000,323.050000,10.359829,1.842318
-8.025900,-148.602000,323.050000,10.340109,1.807859
-7.725900,-148.602000,323.050000,10.458068,1.844151
-7.425900,-148.602000,323.050000,10.435386,1.856122
-7.125900,-148.602000,323.050000,10.473704,1.850952
-6.825900,-148.602000,323.050000,10.497864,1.849206
-6.525900,-148.602000,323.050000,10.362645,1.832786
-6.225900,-148.602000,323.050000,10.380404,1.819580
-5.925900,-148.602000,323.050000,10.272979,1.838705
-5.625900,-148.602000,323.050000,10.361270,1.841254
-5.325900,-148.602000,323.050000,10.368282,1.813133
-5.025900,-148.602000,323.050000,10.357636,1.835897
-4.725900,-148.602000,323.050000,10.374382,1.825374
-4.425900,-148.602000,323.050000,10.240582,1.842826
-4.125900,-148.602000,323.050000,10.314934,1.854425
-3.825900,-148.602000,323.050000,10.385363,1.849541
-3.525900,-148.602000,323.050000,10.395336,1.832282
-3.225900,-148.602000,323.050000,10.331305,1.880630
-2.925900,-148.602000,323.050000,10.481587,1.869915
-2.625900,-148.602000,323.050000,10.312892,1.841458
-2.325900,-148.602000,323.050000,10.333172,1.828265
-2.025900,-148.602000,323.050000,10.358823,1.827568
-1.725900,-148.602000,323.050000,10.424556,1.840246
-1.425900,-148.602000,323.050000,10.409535,1.841481
-1.125900,-148.602000,323.050000,10.635687,1.807478
-0.825900,-148.602000,323.050000,10.930970,1.723049
-0.525900,-148.602000,323.050000,10.956980,1.700888
-0.225900,-148.602000,323.050000,11.358076,1.662798
0.074100,-148.602000,323.050000,11.741389,1.558904
0.374100,-148.602000,323.050000,11.724023,1.517652
0.674100,-148.602000,323.050000,11.945979,1.528243
0.974100,-148.602000,323.050000,11.938371,1.517434
1.274100,-148.602000,323.050000,11.779877,1.529413
1.574100,-148.602000,323.050000,11.822792,1.532810
1.874100,-148.602000,323.050000,11.847930,1.516423
2.174100,-148.602000,323.050000,11.764439,1.541619
2.474100,-148.602000,323.050000,11.937675,1.552943
2.774100,-148.602000,323.050000,11.653094,1.543844
3.074100,-148.602000,323.050000,11.735045,1.558722
3.374100,-148.602000,323.050000,11.758765,1.572728
3.674100,-148.602000,323.050000,11.725074,1.581710
3.974100,-148.602000,323.050000,11.603584,1.558053
4.274100,-148.602000,323.050000,11.609670,1.576153
4.574100,-148.602000,323.050000,11.773520,1.586973
4.874100,-148.602000,323.050000,11.599887,1.570579
5.174100,-148.602000,323.050000,11.706738,1.587293
5.474100,-148.602000,323.050000,11.575700,1.576701
5.774100,-148.602000,323.050000,11.587390,1.599700
6.074100,-148.602000,323.050000,11.461444,1.603338
6.374100,-148.602000,323.050000,11.397852,1.617113
6.674100,-148.602000,323.050000,11.556756,1.617364
-17.325900,-148.302000,323.050000,10.881104,1.718456
-17.025900,-148.302000,323.050000,10.852715,1.694783
-16.725900,-148.302000,323.050000,10.657870,1.778566
-16.425900,-148.302000,323.050000,10.708190,1.772801
-16.125900,-148.302000,323.050000,10.802304,1.761451
-15.825900,-148.302000,323.050000,10.659536,1.760559
-15.525900,-148.302000,323.050000,10.798358,1.776694
-15.225900,-148.302000,323.050000,10.743979,1.734742
-14.925900,-148.302000,323.050000,10.730597,1.770327
-14.625900,-148.302000,323.050000,10.611454,1.740201
-14.325900,-148.302000,323.050000,10.801238,1.759015
-14.025900,-148.302000,323.050000,11.046374,1.754449
-13.725900,-148.302000,323.050000,10.995936,1.773512
-13.425900,-148.302000,323.050000,10.900589,1.769541
-13.125900,-148.302000,323.050000,10.986326,1.745717
-12.825900,-148.302000,323.050000,10.942271,1.743433
-12.525900,-148.302000,323.050000,10.866665,1.746227
-12.225900,-148.302000,323.050000,10.771186,1.767109
-11.925900,-148.302000,323.050000,10.716813,1.757377
-11.625900,-148.302000,323.050000,10.541465,1.793129
-11.325900,-148.302000,323.050000,10.165233,1.852805
-11.025900,-148.302000,323.050000,10.167232,1.885209
-10.725900,-148.302000,323.050000,10.105002,1.926425
-10.425900,-148.302000,323.050000,9.781554,1.960742
-10.125900,-148.302000,323.050000,9.685253,1.974918
-9.825900,-148.302000,323.050000,9.546935,1.959651
-9.525900,-148.302000,323.050000,9.609273,1.974983
-9.225900,-148.302000,323.050000,9.699238,1.992115
-8.925900,-148.302000,323.050000,9.575786,1.944958
-8.625900,-148.302000,323.050000,9.641974,1.957598
-8.325900,-148.302000,323.050000,9.663997,1.976479
-8.025900,-148.302000,323.050000,9.717867,1.929476
-7.725900,-148.302000,323.050000,9.652089,1.964725
-7.425900,-148.302000,323.050000,9.758012,2.003509
-7.125900,-148.302000,323.050000,9.785636,1.981832
-6.825900,-148.302000,323.050000,9.623515,1.973620
-6.525900,-148.302000,323.050000,9.548558,1.939203
-6.225900,-148.302000,323.050000,9.723218,1.955530
-5.925900,-148.302000,323.050000,9.695095,1.961613
-5.625900,-148.302000,323.050000,9.740456,1.978825
-5.325900,-148.302000,323.050000,9.847663,1.966689
-5.025900,-148.302000,323.050000,9.650861,1.958425
-4.725900,-148.302000,323.050000,9.736753,1.963472
-4.425900,-148.302000,323.050000,9.603463,1.963749
-4.125900,-148.302000,323.050000,9.511950,1.968646
-3.825900,-148.302000,323.050000,9.637265,1.972268
-3.525900,-148.302000,323.050000,9.643537,1.964316
-3.225900,-148.302000,323.050000,9.595681,1.997171
-2.925900,-148.302000,323.050000,9.606527,1.979837
-2.625900,-148.302000,323.050000,9.715934,1.971798
-2.325900,-148.302000,323.050000,9.774474,1.980799
-2.025900,-148.302000,323.050000,9.757042,1.949201
-1.725900,-148.302000,323.050000,9.624702,1.965622
-1.425900,-148.302000,323.050000,9.620418,1.966558
-1.125900,-148.302000,323.050000,9.735475,1.932924
-0.825900,-148.302000,323.050000,10.448192,1.896815
-0.525900,-148.302000,323.050000,10.371329,1.857481
-0.225900,-148.302000,323.050000,10.545751,1.824711
0.074100,-148.302000,323.050000,10.939435,1.720934
0.374100,-148.302000,323.050000,11.090261,1.702962
0.674100,-148.302000,323.050000,11.069560,1.700444
0.974100,-148.302000,323.050000,11.159636,1.720602
1.274100,-148.302000,323.050000,11.024238,1.689476
