x_mm,y_mm,z_mm,LET_keV_per_um,Physical_dose
-17.625900,-148.602000,323.050000,15.834973,0.886649
-17.325900,-148.602000,323.050000,16.110790,0.760197
-17.025900,-148.602000,323.050000,16.312363,0.775421
-16.725900,-148.602000,323.050000,16.493631,0.858782
-16.425900,-148.602000,323.050000,16.545193,0.894871
-16.125900,-148.602000,323.050000,16.581577,0.870745
-15.825900,-148.602000,323.050000,16.406521,0.865164
-15.525900,-148.602000,323.050000,16.205975,0.851535
-15.225900,-148.602000,323.050000,16.479258,0.835191
-14.925900,-148.602000,323.050000,16.238415,0.800245
-14.625900,-148.602000,323.050000,16.231903,0.784253
-14.325900,-148.602000,323.050000,16.217466,0.776391
-14.025900,-148.602000,323.050000,16.212055,0.764117
-13.725900,-148.602000,323.050000,16.010904,0.763665
-13.425900,-148.602000,323.050000,16.558046,0.760071
-13.125900,-148.602000,323.050000,16.438620,0.779547
-12.825900,-148.602000,323.050000,16.555227,0.768042
-12.525900,-148.602000,323.050000,16.767893,0.760649
-12.225900,-148.602000,323.050000,16.366106,0.767725
-11.925900,-148.602000,323.050000,16.674389,0.816134
-11.625900,-148.602000,323.050000,16.816162,0.962934
-11.325900,-148.602000,323.050000,16.671967,1.260048
-11.025900,-148.602000,323.050000,16.566326,1.337126
-10.725900,-148.602000,323.050000,16.755079,1.522672
-10.425900,-148.602000,323.050000,16.575428,1.734744
-10.125900,-148.602000,323.050000,16.321911,1.795010
-9.825900,-148.602000,323.050000,16.444761,1.794333
-9.525900,-148.602000,323.050000,16.156599,1.838087
-9.225900,-148.602000,323.050000,16.210791,1.782148
-8.925900,-148.602000,323.050000,16.314081,1.839706
-8.625900,-148.602000,323.050000,16.242018,1.808856
-8.325900,-148.602000,323.050000,16.272535,1.865206
-8.025900,-148.602000,323.050000,16.386030,1.829830
-7.725900,-148.602000,323.050000,16.340179,1.775859
-7.425900,-148.602000,323.050000,16.272314,1.818684
-7.125900,-148.602000,323.050000,16.380890,1.818471
-6.825900,-148.602000,323.050000,16.438984,1.767584
-6.525900,-148.602000,323.050000,16.511559,1.819969
-6.225900,-148.602000,323.050000,16.312872,1.831020
-5.925900,-148.602000,323.050000,16.219549,1.775549
-5.625900,-148.602000,323.050000,16.342033,1.756003
-5.325900,-148.602000,323.050000,16.311699,1.834868
-5.025900,-148.602000,323.050000,16.536783,1.804515
-4.725900,-148.602000,323.050000,16.213463,1.828563
-4.425900,-148.602000,323.050000,16.159597,1.866973
-4.125900,-148.602000,323.050000,16.217588,1.841656
-3.825900,-148.602000,323.050000,16.193161,1.889911
-3.525900,-148.602000,323.050000,16.131804,1.819100
-3.225900,-148.602000,323.050000,16.155294,1.883629
-2.925900,-148.602000,323.050000,16.161558,1.869549
-2.625900,-148.602000,323.050000,16.067024,1.748110
-2.325900,-148.602000,323.050000,16.369040,1.760274
-2.025900,-148.602000,323.050000,16.246098,1.773141
-1.725900,-148.602000,323.050000,16.174017,1.813587
-1.425900,-148.602000,323.050000,16.530609,1.759301
-1.125900,-148.602000,323.050000,16.670431,1.626445
-0.825900,-148.602000,323.050000,16.860106,1.259760
-0.525900,-148.602000,323.050000,16.962080,1.147341
-0.225900,-148.602000,323.050000,16.611214,0.980429
0.074100,-148.602000,323.050000,16.906267,0.687863
0.374100,-148.602000,323.050000,16.918928,0.650854
0.674100,-148.602000,323.050000,16.650112,0.636932
0.974100,-148.602000,323.050000,16.717821,0.627274
1.274100,-148.602000,323.050000,16.642942,0.627066
1.574100,-148.602000,323.050000,15.954829,0.626986
1.874100,-148.602000,323.050000,17.024199,0.670936
2.174100,-148.602000,323.050000,17.061760,0.667213
2.474100,-148.602000,323.050000,16.901335,0.681918
2.774100,-148.602000,323.050000,16.741547,0.724120
3.074100,-148.602000,323.050000,16.561804,0.680782
3.374100,-148.602000,323.050000,16.585218,0.683944
3.674100,-148.602000,323.050000,16.799532,0.726653
3.974100,-148.602000,323.050000,16.739113,0.748012
4.274100,-148.602000,323.050000,16.834372,0.732602
4.574100,-148.602000,323.050000,17.011503,0.747967
