x_mm,y_mm,z_mm,LET_keV_per_um,Physical_dose
-17.625900,-148.602000,323.050000,8.031769,0.218971
-17.325900,-148.602000,323.050000,7.197793,0.203257
-17.025900,-148.602000,323.050000,7.104887,0.190135
-16.725900,-148.602000,323.050000,7.689059,0.206744
-16.425900,-148.602000,323.050000,7.442093,0.200079
-16.125900,-148.602000,323.050000,8.730594,0.215122
-15.825900,-148.602000,323.050000,7.835649,0.191674
-15.525900,-148.602000,323.050000,7.887208,0.198136
-15.225900,-148.602000,323.050000,7.942614,0.194118
-14.925900,-148.602000,323.050000,8.197530,0.194172
-14.625900,-148.602000,323.050000,7.469701,0.177652
-14.325900,-148.602000,323.050000,8.767258,0.188581
-14.025900,-148.602000,323.050000,7.795691,0.188126
-13.725900,-148.602000,323.050000,7.482401,0.177955
-13.425900,-148.602000,323.050000,7.487206,0.187589
-13.125900,-148.602000,323.050000,8.166751,0.189617
-12.825900,-148.602000,323.050000,7.596358,0.179943
-12.525900,-148.602000,323.050000,7.380484,0.167843
-12.225900,-148.602000,323.050000,7.168793,0.177954
-11.925900,-148.602000,323.050000,7.129704,0.164095
-11.625900,-148.602000,323.050000,10.245392,0.205116
-11.325900,-148.602000,323.050000,11.574325,0.237519
-11.025900,-148.602000,323.050000,11.970958,0.236855
-10.725900,-148.602000,323.050000,13.026748,0.287375
-10.425900,-148.602000,323.050000,13.646155,0.316856
-10.125900,-148.602000,323.050000,13.628105,0.319526
-9.825900,-148.602000,323.050000,13.900159,0.319600
-9.525900,-148.602000,323.050000,13.472780,0.341805
-9.225900,-148.602000,323.050000,13.803586,0.346146
-8.925900,-148.602000,323.050000,14.396426,0.325106
-8.625900,-148.602000,323.050000,13.848220,0.319468
-8.325900,-148.602000,323.050000,14.321291,0.334470
-8.025900,-148.602000,323.050000,14.352979,0.327163
-7.725900,-148.602000,323.050000,14.151698,0.317537
-7.425900,-148.602000,323.050000,14.321914,0.346898
-7.125900,-148.602000,323.050000,14.877482,0.314995
-6.825900,-148.602000,323.050000,13.847284,0.314705
-6.525900,-148.602000,323.050000,14.204002,0.327389
-6.225900,-148.602000,323.050000,14.094729,0.311955
-5.925900,-148.602000,323.050000,14.329065,0.337303
-5.625900,-148.602000,323.050000,14.917633,0.322346
-5.325900,-148.602000,323.050000,14.518538,0.333837
-5.025900,-148.602000,323.050000,14.832291,0.322770
-4.725900,-148.602000,323.050000,14.721061,0.342545
-4.425900,-148.602000,323.050000,14.468251,0.330665
-4.125900,-148.602000,323.050000,15.055402,0.345611
-3.825900,-148.602000,323.050000,14.871478,0.332522
-3.525900,-148.602000,323.050000,14.637504,0.330290
-3.225900,-148.602000,323.050000,15.465607,0.335316
-2.925900,-148.602000,323.050000,14.470426,0.332245
-2.625900,-148.602000,323.050000,14.332703,0.334018
-2.325900,-148.602000,323.050000,14.212938,0.305864
-2.025900,-148.602000,323.050000,14.927835,0.312976
-1.725900,-148.602000,323.050000,13.913312,0.318798
-1.425900,-148.602000,323.050000,14.849716,0.320015
-1.125900,-148.602000,323.050000,13.360486,0.273443
-0.825900,-148.602000,323.050000,11.760880,0.222244
-0.525900,-148.602000,323.050000,11.541717,0.199635
-0.225900,-148.602000,323.050000,10.122278,0.178138
0.074100,-148.602000,323.050000,8.061883,0.161507
0.374100,-148.602000,323.050000,8.197041,0.162437
0.674100,-148.602000,323.050000,6.957332,0.140568
0.974100,-148.602000,323.050000,7.604276,0.154740
1.274100,-148.602000,323.050000,7.407032,0.149266
1.574100,-148.602000,323.050000,7.673139,0.158131
1.874100,-148.602000,323.050000,7.926918,0.148055
2.174100,-148.602000,323.050000,7.387771,0.134994
2.474100,-148.602000,323.050000,7.317255,0.148003
2.774100,-148.602000,323.050000,8.324064,0.159140
3.074100,-148.602000,323.050000,8.595290,0.155187
3.374100,-148.602000,323.050000,7.945709,0.153877
3.674100,-148.602000,323.050000,8.868793,0.166465
3.974100,-148.602000,323.050000,8.352228,0.163140
4.274100,-148.602000,323.050000,8.544384,0.153252
4.574100,-148.602000,323.050000,8.037049,0.157575
4.874100,-148.602000,323.050000,8.834164,0.163528
5.174100,-148.602000,323.050000,8.551482,0.163189
5.474100,-148.602000,323.050000,9.771553,0.169460
5.774100,-148.602000,323.050000,8.820444,0.157847
6.074100,-148.602000,323.050000,9.817170,0.185519
6.374100,-148.602000,323.050000,9.683857,0.169050
6.674100,-148.602000,323.050000,9.863099,0.168577
-17.325900,-148.302000,323.050000,10.669783,0.259446
-17.025900,-148.302000,323.050000,10.855058,0.244404
-16.725900,-148.302000,323.050000,11.413379,0.294701
-16.425900,-148.302000,323.050000,12.429152,0.288916
-16.125900,-148.302000,323.050000,11.636341,0.289320
-15.825900,-148.302000,323.050000,11.905952,0.276906
-15.525900,-148.302000,323.050000,12.077956,0.275491
-15.225900,-148.302000,323.050000,11.452684,0.268898
-14.925900,-148.302000,323.050000,12.021240,0.270984
-14.625900,-148.302000,323.050000,11.713837,0.256137
-14.325900,-148.302000,323.050000,11.781004,0.262010
-14.025900,-148.302000,323.050000,11.227063,0.251212
-13.725900,-148.302000,323.050000,11.319613,0.246564
-13.425900,-148.302000,323.050000,11.107450,0.261219
-13.125900,-148.302000,323.050000,11.669644,0.261477
-12.825900,-148.302000,323.050000,11.559985,0.248826
-12.525900,-148.302000,323.050000,11.417861,0.237362
-12.225900,-148.302000,323.050000,12.370089,0.257141
-11.925900,-148.302000,323.050000,11.872403,0.232129
-11.625900,-148.302000,323.050000,12.565063,0.296059
-11.325900,-148.302000,323.050000,14.534329,0.402259
-11.025900,-148.302000,323.050000,15.009524,0.404109
-10.725900,-148.302000,323.050000,15.458735,0.484273
-10.425900,-148.302000,323.050000,16.007107,0.555607
-10.125900,-148.302000,323.050000,15.970774,0.580842
-9.825900,-148.302000,323.050000,16.673307,0.605443
-9.525900,-148.302000,323.050000,16.238605,0.592836
-9.225900,-148.302000,323.050000,16.136654,0.602225
-8.925900,-148.302000,323.050000,16.607872,0.598434
-8.625900,-148.302000,323.050000,16.094233,0.589965
-8.325900,-148.302000,323.050000,16.147104,0.610733
-8.025900,-148.302000,323.050000,16.627256,0.591824
-7.725900,-148.302000,323.050000,16.784430,0.589679
-7.425900,-148.302000,323.050000,15.842691,0.597764
-7.125900,-148.302000,323.050000,16.626373,0.611891
-6.825900,-148.302000,323.050000,16.645220,0.592912
-6.525900,-148.302000,323.050000,16.383528,0.601493
-6.225900,-148.302000,323.050000,16.745749,0.587865
-5.925900,-148.302000,323.050000,16.497969,0.610644
-5.625900,-148.302000,323.050000,16.327108,0.597556
-5.325900,-148.302000,323.050000,16.534883,0.616364
-5.025900,-148.302000,323.050000,16.322573,0.599096
-4.725900,-148.302000,323.050000,16.497589,0.616039
-4.425900,-148.302000,323.050000,16.961988,0.625033
-4.125900,-148.302000,323.050000,16.657810,0.641944
-3.825900,-148.302000,323.050000,16.679676,0.631687
