x_mm,y_mm,z_mm,LET_keV_per_um,Physical_dose
-17.625900,-148.602000,323.050000,1.287421,4.981661
-17.325900,-148.602000,323.050000,1.295973,4.941057
-17.025900,-148.602000,323.050000,1.286929,4.964855
-16.725900,-148.602000,323.050000,1.313822,4.934480
-16.425900,-148.602000,323.050000,1.278629,4.949132
-16.125900,-148.602000,323.050000,1.288483,4.926138
-15.825900,-148.602000,323.050000,1.267998,4.929147
-15.525900,-148.602000,323.050000,1.314283,4.925952
-15.225900,-148.602000,323.050000,1.296535,4.954460
-14.925900,-148.602000,323.050000,1.273829,4.930881
-14.625900,-148.602000,323.050000,1.267290,4.935064
-14.325900,-148.602000,323.050000,1.339483,4.965864
-14.025900,-148.602000,323.050000,1.300660,4.981337
-13.725900,-148.602000,323.050000,1.282422,4.937540
-13.425900,-148.602000,323.050000,1.315651,4.952910
-13.125900,-148.602000,323.050000,1.293706,5.001240
-12.825900,-148.602000,323.050000,1.329765,4.992790
-12.525900,-148.602000,323.050000,1.311657,4.979206
-12.225900,-148.602000,323.050000,1.270814,4.980183
-11.925900,-148.602000,323.050000,1.286158,4.955144
-11.625900,-148.602000,323.050000,1.297814,4.962113
-11.325900,-148.602000,323.050000,1.277530,4.917469
-11.025900,-148.602000,323.050000,1.274209,4.932138
-10.725900,-148.602000,323.050000,1.307623,4.933776
-10.425900,-148.602000,323.050000,1.274221,4.923151
-10.125900,-148.602000,323.050000,1.300106,4.966597
-9.825900,-148.602000,323.050000,1.295317,4.917867
-9.525900,-148.602000,323.050000,1.314265,4.912025
-9.225900,-148.602000,323.050000,1.309595,4.909857
-8.925900,-148.602000,323.050000,1.285132,4.956392
-8.625900,-148.602000,323.050000,1.294257,4.946469
-8.325900,-148.602000,323.050000,1.317974,4.961667
-8.025900,-148.602000,323.050000,1.289725,4.921187
-7.725900,-148.602000,323.050000,1.276760,4.948482
-7.425900,-148.602000,323.050000,1.272445,4.941566
-7.125900,-148.602000,323.050000,1.271745,4.950339
-6.825900,-148.602000,323.050000,1.273819,4.935024
-6.525900,-148.602000,323.050000,1.291126,4.898079
-6.225900,-148.602000,323.050000,1.275101,4.920235
-5.925900,-148.602000,323.050000,1.336955,4.970716
-5.625900,-148.602000,323.050000,1.291201,4.924968
-5.325900,-148.602000,323.050000,1.288263,4.942214
-5.025900,-148.602000,323.050000,1.293895,4.911779
-4.725900,-148.602000,323.050000,1.270323,4.923845
-4.425900,-148.602000,323.050000,1.272608,4.933646
-4.125900,-148.602000,323.050000,1.303419,4.930406
-3.825900,-148.602000,323.050000,1.281347,4.911623
-3.525900,-148.602000,323.050000,1.314587,4.937247
-3.225900,-148.602000,323.050000,1.290620,4.944465
-2.925900,-148.602000,323.050000,1.287059,4.930371
-2.625900,-148.602000,323.050000,1.288352,4.924088
-2.325900,-148.602000,323.050000,1.288686,4.954578
-2.025900,-148.602000,323.050000,1.292251,4.943433
-1.725900,-148.602000,323.050000,1.297271,4.950175
-1.425900,-148.602000,323.050000,1.250349,4.917302
-1.125900,-148.602000,323.050000,1.258351,4.904213
-0.825900,-148.602000,323.050000,1.303964,4.951973
-0.525900,-148.602000,323.050000,1.309687,4.940230
-0.225900,-148.602000,323.050000,1.276742,4.924626
0.074100,-148.602000,323.050000,1.305099,4.961975
0.374100,-148.602000,323.050000,1.300670,4.957660
0.674100,-148.602000,323.050000,1.298011,4.943807
0.974100,-148.602000,323.050000,1.314075,4.959813
1.274100,-148.602000,323.050000,1.306620,4.974202
1.574100,-148.602000,323.050000,1.315020,4.952081
1.874100,-148.602000,323.050000,1.281488,4.910553
2.174100,-148.602000,323.050000,1.304482,4.984398
2.474100,-148.602000,323.050000,1.325311,4.957570
2.774100,-148.602000,323.050000,1.275560,4.976798
3.074100,-148.602000,323.050000,1.307312,4.976934
3.374100,-148.602000,323.050000,1.304905,4.944950
3.674100,-148.602000,323.050000,1.288748,4.964979
3.974100,-148.602000,323.050000,1.293659,4.957429
4.274100,-148.602000,323.050000,1.270816,4.992618
4.574100,-148.602000,323.050000,1.294740,4.982589
4.874100,-148.602000,323.050000,1.261777,4.954611
5.174100,-148.602000,323.050000,1.278547,4.949670
5.474100,-148.602000,323.050000,1.303872,4.949235
5.774100,-148.602000,323.050000,1.295193,5.005981
6.074100,-148.602000,323.050000,1.305576,4.945212
6.374100,-148.602000,323.050000,1.265572,4.940342
6.674100,-148.602000,323.050000,1.284727,4.934261
-17.325900,-148.302000,323.050000,1.300982,4.933356
-17.025900,-148.302000,323.050000,1.278558,4.944102
-16.725900,-148.302000,323.050000,1.280365,4.916373
-16.425900,-148.302000,323.050000,1.287140,4.938708
-16.125900,-148.302000,323.050000,1.273417,4.902726
-15.825900,-148.302000,323.050000,1.271663,4.911192
-15.525900,-148.302000,323.050000,1.286224,4.901232
-15.225900,-148.302000,323.050000,1.275792,4.936106
-14.925900,-148.302000,323.050000,1.269328,4.927655
-14.625900,-148.302000,323.050000,1.284983,4.930522
-14.325900,-148.302000,323.050000,1.311645,4.948472
-14.025900,-148.302000,323.050000,1.296773,4.957080
-13.725900,-148.302000,323.050000,1.283514,4.929067
-13.425900,-148.302000,323.050000,1.290501,4.923431
-13.125900,-148.302000,323.050000,1.292645,4.985855
-12.825900,-148.302000,323.050000,1.285793,4.957325
-12.525900,-148.302000,323.050000,1.275418,4.946932
-12.225900,-148.302000,323.050000,1.309037,4.959633
-11.925900,-148.302000,323.050000,1.279485,4.928617
-11.625900,-148.302000,323.050000,1.287064,4.948179
-11.325900,-148.302000,323.050000,1.307013,4.909612
-11.025900,-148.302000,323.050000,1.269560,4.910054
-10.725900,-148.302000,323.050000,1.279407,4.922025
-10.425900,-148.302000,323.050000,1.265172,4.895594
-10.125900,-148.302000,323.050000,1.278905,4.939127
-9.825900,-148.302000,323.050000,1.276464,4.890989
-9.525900,-148.302000,323.050000,1.301956,4.898042
-9.225900,-148.302000,323.050000,1.269955,4.879877
-8.925900,-148.302000,323.050000,1.274290,4.934741
-8.625900,-148.302000,323.050000,1.283556,4.920153
-8.325900,-148.302000,323.050000,1.278340,4.944877
-8.025900,-148.302000,323.050000,1.297571,4.905026
-7.725900,-148.302000,323.050000,1.297586,4.934290
-7.425900,-148.302000,323.050000,1.266305,4.894090
-7.125900,-148.302000,323.050000,1.265309,4.918712
-6.825900,-148.302000,323.050000,1.300493,4.907190
-6.525900,-148.302000,323.050000,1.264471,4.873178
-6.225900,-148.302000,323.050000,1.321834,4.917022
-5.925900,-148.302000,323.050000,1.310555,4.957660
-5.625900,-148.302000,323.050000,1.296646,4.915170
-5.325900,-148.302000,323.050000,1.283642,4.925619
-5.025900,-148.302000,323.050000,1.272273,4.888724
-4.725900,-148.302000,323.050000,1.298639,4.915450
-4.425900,-148.302000,323.050000,1.269674,4.903989
-4.125900,-148.302000,323.050000,1.299683,4.927350
-3.825900,-148.302000,323.050000,1.287184,4.889539
-3.525900,-148.302000,323.050000,1.281151,4.915399
-3.225900,-148.302000,323.050000,1.284952,4.932145
-2.925900,-148.302000,323.050000,1.272128,4.901800
-2.625900,-148.302000,323.050000,1.287847,4.927058
-2.325900,-148.302000,323.050000,1.301498,4.908269
-2.025900,-148.302000,323.050000,1.261453,4.910882
-1.725900,-148.302000,323.050000,1.293682,4.906081
-1.425900,-148.302000,323.050000,1.247774,4.915915
-1.125900,-148.302000,323.050000,1.248382,4.891173
-0.825900,-148.302000,323.050000,1.293302,4.943671
-0.525900,-148.302000,323.050000,1.292999,4.931553
-0.225900,-148.302000,323.050000,1.304367,4.925369
0.074100,-148.302000,323.050000,1.254509,4.942826
0.374100,-148.302000,323.050000,1.309946,4.960939
0.674100,-148.302000,323.050000,1.284100,4.916415
0.974100,-148.302000,323.050000,1.310137,4.962111
1.274100,-148.302000,323.050000,1.281586,4.943467
1.574100,-148.302000,323.050000,1.262367,4.934896
1.874100,-148.302000,323.050000,1.303963,4.897161
2.174100,-148.302000,323.050000,1.304432,4.939088
2.474100,-148.302000,323.050000,1.290676,4.940852
2.774100,-148.302000,323.050000,1.273583,4.962346
3.074100,-148.302000,323.050000,1.301068,4.941005
3.374100,-148.302000,323.050000,1.291439,4.928334
3.674100,-148.302000,323.050000,1.293743,4.947824
3.974100,-148.302000,323.050000,1.280899,4.937268
4.274100,-148.302000,323.050000,1.273800,4.978731
4.574100,-148.302000,323.050000,1.280563,4.936512
