x_mm,y_mm,z_mm,LET_keV_per_um,Physical_dose
13.590774,-82.344400,-284.000000,12.185187,1.742129
14.110774,-82.344400,-284.000000,11.997222,1.728940
14.630774,-82.344400,-284.000000,12.124308,1.741278
15.150774,-82.344400,-284.000000,12.158007,1.744193
15.670774,-82.344400,-284.000000,12.131943,1.757075
16.190774,-82.344400,-284.000000,12.135810,1.766493
16.710774,-82.344400,-284.000000,12.030191,1.764997
17.230774,-82.344400,-284.000000,11.982795,1.752601
17.750774,-82.344400,-284.000000,12.171473,1.782072
18.270774,-82.344400,-284.000000,12.042747,1.774074
18.790774,-82.344400,-284.000000,12.243132,1.773118
19.310774,-82.344400,-284.000000,11.869803,1.743451
19.830774,-82.344400,-284.000000,11.986244,1.780611
20.350774,-82.344400,-284.000000,12.207503,1.800371
20.870774,-82.344400,-284.000000,11.838537,1.786757
21.390774,-82.344400,-284.000000,11.956685,1.799906
21.910774,-82.344400,-284.000000,11.986460,1.803587
22.430774,-82.344400,-284.000000,12.220063,1.817327
22.950774,-82.344400,-284.000000,12.189430,1.790134
23.470774,-82.344400,-284.000000,12.186145,1.795135
23.990774,-82.344400,-284.000000,12.029719,1.775016
24.510774,-82.344400,-284.000000,12.084043,1.799183
25.030774,-82.344400,-284.000000,11.980788,1.808119
25.550774,-82.344400,-284.000000,12.170397,1.802217
26.070774,-82.344400,-284.000000,12.014971,1.797881
26.590774,-82.344400,-284.000000,12.183331,1.801526
27.110774,-82.344400,-284.000000,11.976008,1.800738
27.630774,-82.344400,-284.000000,12.251009,1.804923
28.150774,-82.344400,-284.000000,12.181025,1.796166
28.670774,-82.344400,-284.000000,12.258635,1.802274
29.190774,-82.344400,-284.000000,11.871553,1.793491
29.710774,-82.344400,-284.000000,12.051006,1.801989
30.230774,-82.344400,-284.000000,11.938340,1.812845
30.750774,-82.344400,-284.000000,11.747795,1.807968
31.270774,-82.344400,-284.000000,12.127705,1.811815
31.790774,-82.344400,-284.000000,12.198805,1.808570
32.310774,-82.344400,-284.000000,11.973378,1.787575
32.830774,-82.344400,-284.000000,12.162620,1.776196
33.350774,-82.344400,-284.000000,12.054523,1.805552
33.870774,-82.344400,-284.000000,12.057554,1.795251
34.390774,-82.344400,-284.000000,11.941960,1.804854
34.910774,-82.344400,-284.000000,12.121428,1.807592
35.430774,-82.344400,-284.000000,12.048162,1.815970
35.950774,-82.344400,-284.000000,12.108665,1.802251
36.470774,-82.344400,-284.000000,12.224314,1.789823
36.990774,-82.344400,-284.000000,12.054713,1.810781
37.510774,-82.344400,-284.000000,12.002972,1.800390
38.030774,-82.344400,-284.000000,12.074375,1.797003
38.550774,-82.344400,-284.000000,11.978603,1.793595
39.070774,-82.344400,-284.000000,12.059380,1.793574
39.590774,-82.344400,-284.000000,11.833508,1.775549
40.110774,-82.344400,-284.000000,11.952042,1.815686
40.630774,-82.344400,-284.000000,11.988605,1.808204
41.150774,-82.344400,-284.000000,12.055820,1.802474
