x_mm,y_mm,z_mm,LET_keV_per_um,Physical_dose
13.590774,-82.344400,-284.000000,1.206635,1.442515
14.110774,-82.344400,-284.000000,1.219087,1.448563
14.630774,-82.344400,-284.000000,1.181820,1.436327
15.150774,-82.344400,-284.000000,1.288451,1.449845
15.670774,-82.344400,-284.000000,1.209611,1.442300
16.190774,-82.344400,-284.000000,1.205762,1.457585
16.710774,-82.344400,-284.000000,1.184555,1.457058
17.230774,-82.344400,-284.000000,1.187406,1.475470
17.750774,-82.344400,-284.000000,1.204632,1.455014
18.270774,-82.344400,-284.000000,1.219285,1.460736
18.790774,-82.344400,-284.000000,1.224397,1.450828
19.310774,-82.344400,-284.000000,1.221707,1.452305
19.830774,-82.344400,-284.000000,1.225086,1.460019
20.350774,-82.344400,-284.000000,1.198071,1.454703
20.870774,-82.344400,-284.000000,1.232737,1.451267
21.390774,-82.344400,-284.000000,1.294273,1.458599
21.910774,-82.344400,-284.000000,1.209135,1.450359
22.430774,-82.344400,-284.000000,1.226349,1.459325
22.950774,-82.344400,-284.000000,1.217878,1.468388
23.470774,-82.344400,-284.000000,1.239173,1.470836
23.990774,-82.344400,-284.000000,1.272684,1.464489
24.510774,-82.344400,-284.000000,1.244930,1.467400
25.030774,-82.344400,-284.000000,1.240793,1.452877
25.550774,-82.344400,-284.000000,1.223338,1.458440
26.070774,-82.344400,-284.000000,1.296666,1.473522
26.590774,-82.344400,-284.000000,1.199194,1.458207
27.110774,-82.344400,-284.000000,1.235581,1.454127
27.630774,-82.344400,-284.000000,1.261440,1.480409
28.150774,-82.344400,-284.000000,1.240210,1.478677
28.670774,-82.344400,-284.000000,1.239967,1.467787
29.190774,-82.344400,-284.000000,1.293301,1.462840
29.710774,-82.344400,-284.000000,1.250960,1.460564
30.230774,-82.344400,-284.000000,1.205348,1.478683
30.750774,-82.344400,-284.000000,1.259997,1.457673
31.270774,-82.344400,-284.000000,1.245634,1.460792
31.790774,-82.344400,-284.000000,1.247606,1.476191
32.310774,-82.344400,-284.000000,1.193611,1.458739
32.830774,-82.344400,-284.000000,1.231848,1.470306
33.350774,-82.344400,-284.000000,1.224594,1.460247
33.870774,-82.344400,-284.000000,1.186279,1.444330
34.390774,-82.344400,-284.000000,1.207106,1.453487
34.910774,-82.344400,-284.000000,1.177687,1.448297
35.430774,-82.344400,-284.000000,1.205161,1.465446
35.950774,-82.344400,-284.000000,1.200267,1.476020
36.470774,-82.344400,-284.000000,1.230004,1.460853
36.990774,-82.344400,-284.000000,1.226937,1.451409
37.510774,-82.344400,-284.000000,1.254802,1.463554
38.030774,-82.344400,-284.000000,1.198126,1.483161
38.550774,-82.344400,-284.000000,1.192319,1.465944
39.070774,-82.344400,-284.000000,1.192716,1.463178
39.590774,-82.344400,-284.000000,1.246164,1.465193
40.110774,-82.344400,-284.000000,1.280149,1.464288
40.630774,-82.344400,-284.000000,1.215046,1.471474
41.150774,-82.344400,-284.000000,1.173100,1.476195
41.670774,-82.344400,-284.000000,1.207353,1.474607
42.190774,-82.344400,-284.000000,1.243423,1.466714
42.710774,-82.344400,-284.000000,1.233987,1.455369
43.230774,-82.344400,-284.000000,1.205424,1.453053
43.750774,-82.344400,-284.000000,1.296544,1.466709
44.270774,-82.344400,-284.000000,1.301361,1.467811
44.790774,-82.344400,-284.000000,1.209107,1.455775
45.310774,-82.344400,-284.000000,1.176390,1.454544
45.830774,-82.344400,-284.000000,1.213546,1.460719
46.350774,-82.344400,-284.000000,1.290639,1.459826
46.870774,-82.344400,-284.000000,1.245237,1.465773
47.390774,-82.344400,-284.000000,1.249881,1.464654
47.910774,-82.344400,-284.000000,1.227591,1.471993
48.430774,-82.344400,-284.000000,1.225953,1.456337
48.950774,-82.344400,-284.000000,1.164278,1.449220
