x_mm,y_mm,z_mm,LET_keV_per_um,Physical_dose
13.590774,-82.344400,-284.000000,12.185187,6.968732
14.110774,-82.344400,-284.000000,11.997222,6.915972
14.630774,-82.344400,-284.000000,12.124308,6.965324
15.150774,-82.344400,-284.000000,12.158007,6.976986
15.670774,-82.344400,-284.000000,12.131943,7.028517
16.190774,-82.344400,-284.000000,12.135810,7.066187
16.710774,-82.344400,-284.000000,12.030191,7.060204
17.230774,-82.344400,-284.000000,11.982795,7.010621
17.750774,-82.344400,-284.000000,12.171473,7.128507
18.270774,-82.344400,-284.000000,12.042747,7.096514
18.790774,-82.344400,-284.000000,12.243132,7.092688
19.310774,-82.344400,-284.000000,11.869803,6.974020
19.830774,-82.344400,-284.000000,11.986244,7.122664
20.350774,-82.344400,-284.000000,12.207503,7.201706
20.870774,-82.344400,-284.000000,11.838537,7.147247
21.390774,-82.344400,-284.000000,11.956685,7.199843
21.910774,-82.344400,-284.000000,11.986460,7.214568
22.430774,-82.344400,-284.000000,12.220063,7.269533
22.950774,-82.344400,-284.000000,12.189430,7.160758
23.470774,-82.344400,-284.000000,12.186145,7.180760
23.990774,-82.344400,-284.000000,12.029719,7.100281
24.510774,-82.344400,-284.000000,12.084043,7.196951
25.030774,-82.344400,-284.000000,11.980788,7.232699
25.550774,-82.344400,-284.000000,12.170397,7.209092
26.070774,-82.344400,-284.000000,12.014971,7.191745
26.590774,-82.344400,-284.000000,12.183331,7.206323
27.110774,-82.344400,-284.000000,11.976008,7.203174
27.630774,-82.344400,-284.000000,12.251009,7.219913
28.150774,-82.344400,-284.000000,12.181025,7.184885
28.670774,-82.344400,-284.000000,12.258635,7.209316
29.190774,-82.344400,-284.000000,11.871553,7.174182
29.710774,-82.344400,-284.000000,12.051006,7.208176
30.230774,-82.344400,-284.000000,11.938340,7.251602
30.750774,-82.344400,-284.000000,11.747795,7.232093
31.270774,-82.344400,-284.000000,12.127705,7.247483
31.790774,-82.344400,-284.000000,12.198805,7.234503
32.310774,-82.344400,-284.000000,11.973378,7.150519
32.830774,-82.344400,-284.000000,12.162620,7.105001
33.350774,-82.344400,-284.000000,12.054523,7.222430
33.870774,-82.344400,-284.000000,12.057554,7.181223
34.390774,-82.344400,-284.000000,11.941960,7.219639
34.910774,-82.344400,-284.000000,12.121428,7.230591
35.430774,-82.344400,-284.000000,12.048162,7.264102
35.950774,-82.344400,-284.000000,12.108665,7.209225
36.470774,-82.344400,-284.000000,12.224314,7.159510
36.990774,-82.344400,-284.000000,12.054713,7.243348
37.510774,-82.344400,-284.000000,12.002972,7.201780
38.030774,-82.344400,-284.000000,12.074375,7.188233
38.550774,-82.344400,-284.000000,11.978603,7.174599
39.070774,-82.344400,-284.000000,12.059380,7.174517
39.590774,-82.344400,-284.000000,11.833508,7.102414
40.110774,-82.344400,-284.000000,11.952042,7.262968
40.630774,-82.344400,-284.000000,11.988605,7.233039
41.150774,-82.344400,-284.000000,12.055820,7.210117
41.670774,-82.344400,-284.000000,12.106494,7.244752
42.190774,-82.344400,-284.000000,12.044600,7.201750
42.710774,-82.344400,-284.000000,12.123311,7.242315
43.230774,-82.344400,-284.000000,12.114511,7.175712
43.750774,-82.344400,-284.000000,12.019571,7.232797
44.270774,-82.344400,-284.000000,12.284932,7.177983
44.790774,-82.344400,-284.000000,12.126624,7.302547
45.310774,-82.344400,-284.000000,11.838634,7.153473
45.830774,-82.344400,-284.000000,12.043907,7.210876
46.350774,-82.344400,-284.000000,11.992919,7.235967
46.870774,-82.344400,-284.000000,12.104469,7.174794
47.390774,-82.344400,-284.000000,11.987988,7.208003
47.910774,-82.344400,-284.000000,12.102939,7.265610
48.430774,-82.344400,-284.000000,11.921678,7.199897
48.950774,-82.344400,-284.000000,11.997891,7.237428
49.470774,-82.344400,-284.000000,12.193325,7.233236
49.990774,-82.344400,-284.000000,12.135327,7.256080
50.510774,-82.344400,-284.000000,12.036923,7.151754
51.030774,-82.344400,-284.000000,12.010633,7.209702
13.070774,-81.824400,-284.000000,12.188700,6.923308
13.590774,-81.824400,-284.000000,12.183435,6.972131
14.110774,-81.824400,-284.000000,11.948677,6.934779
14.630774,-81.824400,-284.000000,12.112133,6.985201
15.150774,-81.824400,-284.000000,12.168513,6.991724
15.670774,-81.824400,-284.000000,12.036147,7.064835
16.190774,-81.824400,-284.000000,12.091340,7.080856
16.710774,-81.824400,-284.000000,12.050412,7.057867
17.230774,-81.824400,-284.000000,12.028380,7.045124
17.750774,-81.824400,-284.000000,12.217443,7.139398
18.270774,-81.824400,-284.000000,12.022799,7.107858
18.790774,-81.824400,-284.000000,12.241618,7.119128
19.310774,-81.824400,-284.000000,11.904174,7.004425
19.830774,-81.824400,-284.000000,11.959127,7.116709
20.350774,-81.824400,-284.000000,12.181751,7.240699
20.870774,-81.824400,-284.000000,11.911103,7.151031
21.390774,-81.824400,-284.000000,11.833783,7.203354
21.910774,-81.824400,-284.000000,12.037028,7.246884
22.430774,-81.824400,-284.000000,12.260032,7.293523
22.950774,-81.824400,-284.000000,12.228750,7.181137
23.470774,-81.824400,-284.000000,12.117484,7.213148
23.990774,-81.824400,-284.000000,12.027699,7.106276
24.510774,-81.824400,-284.000000,12.047168,7.215379
25.030774,-81.824400,-284.000000,11.984467,7.281853
25.550774,-81.824400,-284.000000,12.119208,7.197690
26.070774,-81.824400,-284.000000,12.019921,7.198103
26.590774,-81.824400,-284.000000,12.144897,7.243055
27.110774,-81.824400,-284.000000,11.979118,7.207306
27.630774,-81.824400,-284.000000,12.192630,7.228965
28.150774,-81.824400,-284.000000,12.165009,7.191938
28.670774,-81.824400,-284.000000,12.265685,7.252370
29.190774,-81.824400,-284.000000,11.878573,7.180676
29.710774,-81.824400,-284.000000,12.022021,7.218533
30.230774,-81.824400,-284.000000,11.917438,7.270460
30.750774,-81.824400,-284.000000,11.733509,7.212054
31.270774,-81.824400,-284.000000,12.093251,7.237760
31.790774,-81.824400,-284.000000,12.191321,7.225848
32.310774,-81.824400,-284.000000,11.995872,7.152685
32.830774,-81.824400,-284.000000,12.100405,7.109510
33.350774,-81.824400,-284.000000,12.044440,7.267730
33.870774,-81.824400,-284.000000,12.063899,7.162159
34.390774,-81.824400,-284.000000,11.910515,7.234539
34.910774,-81.824400,-284.000000,12.090316,7.264137
35.430774,-81.824400,-284.000000,12.016565,7.282654
35.950774,-81.824400,-284.000000,12.024283,7.211803
36.470774,-81.824400,-284.000000,12.227557,7.175579
36.990774,-81.824400,-284.000000,12.146335,7.264309
37.510774,-81.824400,-284.000000,11.970184,7.178586
38.030774,-81.824400,-284.000000,12.079719,7.231359
38.550774,-81.824400,-284.000000,11.970181,7.197558
39.070774,-81.824400,-284.000000,12.083769,7.191232
39.590774,-81.824400,-284.000000,11.846736,7.108094
40.110774,-81.824400,-284.000000,11.982855,7.278618
40.630774,-81.824400,-284.000000,11.958616,7.227651
41.150774,-81.824400,-284.000000,11.992293,7.232113
41.670774,-81.824400,-284.000000,12.139248,7.277623
42.190774,-81.824400,-284.000000,11.975387,7.237244
42.710774,-81.824400,-284.000000,12.166413,7.237885
43.230774,-81.824400,-284.000000,12.112710,7.205956
43.750774,-81.824400,-284.000000,11.961305,7.214521
44.270774,-81.824400,-284.000000,12.357475,7.236233
44.790774,-81.824400,-284.000000,12.081085,7.305708
45.310774,-81.824400,-284.000000,11.894143,7.187790
45.830774,-81.824400,-284.000000,11.986850,7.230191
46.350774,-81.824400,-284.000000,12.049188,7.257851
46.870774,-81.824400,-284.000000,12.098157,7.168521
47.390774,-81.824400,-284.000000,12.038070,7.260852
47.910774,-81.824400,-284.000000,12.019011,7.266469
48.430774,-81.824400,-284.000000,11.913797,7.209296
48.950774,-81.824400,-284.000000,11.981457,7.235308
49.470774,-81.824400,-284.000000,12.163298,7.252619
49.990774,-81.824400,-284.000000,12.076086,7.290949
50.510774,-81.824400,-284.000000,11.936299,7.159159
51.030774,-81.824400,-284.000000,11.989847,7.228172
51.550774,-81.824400,-284.000000,12.184473,7.197502
52.070774,-81.824400,-284.000000,11.983146,7.245944
52.590774,-81.824400,-284.000000,11.987249,7.250354
53.110774,-81.824400,-284.000000,12.148895,7.282548
53.630774,-81.824400,-284.000000,11.970048,7.243517
54.150774,-81.824400,-284.000000,11.881145,7.193270
14.630774,-81.304400,-284.000000,12.006877,7.011134
15.150774,-81.304400,-284.000000,12.203219,7.010863
15.670774,-81.304400,-284.000000,12.000795,7.085153
16.190774,-81.304400,-284.000000,12.060908,7.077167
16.710774,-81.304400,-284.000000,12.029516,7.063819
17.230774,-81.304400,-284.000000,12.039320,7.066844
17.750774,-81.304400,-284.000000,12.286517,7.184937
18.270774,-81.304400,-284.000000,12.003846,7.121897
18.790774,-81.304400,-284.000000,12.243303,7.172962
19.310774,-81.304400,-284.000000,11.939692,7.001958
42.710774,-81.304400,-284.000000,12.165864,7.251148
43.230774,-81.304400,-284.000000,12.104323,7.245526
43.750774,-81.304400,-284.000000,11.853993,7.198895
44.270774,-81.304400,-284.000000,12.407576,7.273741
44.790774,-81.304400,-284.000000,12.016458,7.295660
45.310774,-81.304400,-284.000000,11.978559,7.204834
45.830774,-81.304400,-284.000000,11.924010,7.258416
46.350774,-81.304400,-284.000000,12.091586,7.247812
46.870774,-81.304400,-284.000000,12.111305,7.197164
47.390774,-81.304400,-284.000000,12.079782,7.278074
47.910774,-81.304400,-284.000000,12.043666,7.300169
48.430774,-81.304400,-284.000000,11.930439,7.217491
48.950774,-81.304400,-284.000000,11.889584,7.247350
13.590774,-82.344400,-283.000000,12.199218,7.065648
14.110774,-82.344400,-283.000000,12.128709,7.101542
14.630774,-82.344400,-283.000000,12.371360,7.146641
15.150774,-82.344400,-283.000000,11.957732,7.099302
15.670774,-82.344400,-283.000000,12.295388,7.120008
16.190774,-82.344400,-283.000000,12.280624,7.153592
16.710774,-82.344400,-283.000000,12.186748,7.130610
17.230774,-82.344400,-283.000000,12.109192,7.264496
17.750774,-82.344400,-283.000000,12.215734,7.215844
18.270774,-82.344400,-283.000000,11.963587,7.218921
18.790774,-82.344400,-283.000000,12.271453,7.271374
19.310774,-82.344400,-283.000000,12.217514,7.212320
19.830774,-82.344400,-283.000000,12.022455,7.307215
20.350774,-82.344400,-283.000000,12.252824,7.305011
20.870774,-82.344400,-283.000000,12.376462,7.345504
21.390774,-82.344400,-283.000000,12.165718,7.339938
21.910774,-82.344400,-283.000000,12.171210,7.269364
22.430774,-82.344400,-283.000000,12.262423,7.283327
22.950774,-82.344400,-283.000000,12.036660,7.262396
23.470774,-82.344400,-283.000000,12.286990,7.312292
23.990774,-82.344400,-283.000000,12.195361,7.334447
24.510774,-82.344400,-283.000000,12.260815,7.332339
25.030774,-82.344400,-283.000000,12.069601,7.325226
25.550774,-82.344400,-283.000000,12.251035,7.353003
26.070774,-82.344400,-283.000000,12.053950,7.246159
26.590774,-82.344400,-283.000000,12.183610,7.324657
27.110774,-82.344400,-283.000000,12.188040,7.270685
27.630774,-82.344400,-283.000000,12.153996,7.301266
28.150774,-82.344400,-283.000000,12.113735,7.282099
28.670774,-82.344400,-283.000000,12.318336,7.352665
29.190774,-82.344400,-283.000000,12.152438,7.327012
29.710774,-82.344400,-283.000000,12.108192,7.290318
30.230774,-82.344400,-283.000000,12.174066,7.294807
30.750774,-82.344400,-283.000000,12.141179,7.265878
31.270774,-82.344400,-283.000000,12.110190,7.209805
31.790774,-82.344400,-283.000000,12.015932,7.293462
32.310774,-82.344400,-283.000000,12.292720,7.300547
32.830774,-82.344400,-283.000000,12.303748,7.348804
33.350774,-82.344400,-283.000000,12.143111,7.351461
33.870774,-82.344400,-283.000000,12.317039,7.289671
34.390774,-82.344400,-283.000000,12.115499,7.352449
34.910774,-82.344400,-283.000000,12.340308,7.335673
35.430774,-82.344400,-283.000000,12.297980,7.438716
35.950774,-82.344400,-283.000000,11.958775,7.384547
36.470774,-82.344400,-283.000000,11.953158,7.305340
36.990774,-82.344400,-283.000000,12.058167,7.380809
37.510774,-82.344400,-283.000000,12.248998,7.329171
38.030774,-82.344400,-283.000000,12.078188,7.357913
38.550774,-82.344400,-283.000000,12.215994,7.381905
39.070774,-82.344400,-283.000000,12.109838,7.340372
39.590774,-82.344400,-283.000000,11.836903,7.252396
40.110774,-82.344400,-283.000000,12.268878,7.339545
40.630774,-82.344400,-283.000000,12.216833,7.362590
41.150774,-82.344400,-283.000000,12.228194,7.318933
41.670774,-82.344400,-283.000000,12.141442,7.380924
42.190774,-82.344400,-283.000000,12.247789,7.363235
42.710774,-82.344400,-283.000000,11.912187,7.367071
43.230774,-82.344400,-283.000000,12.471747,7.341872
43.750774,-82.344400,-283.000000,12.050079,7.348057
44.270774,-82.344400,-283.000000,12.242695,7.387417
44.790774,-82.344400,-283.000000,12.099555,7.346493
45.310774,-82.344400,-283.000000,12.245878,7.350130
45.830774,-82.344400,-283.000000,12.160747,7.318109
46.350774,-82.344400,-283.000000,12.371583,7.403727
46.870774,-82.344400,-283.000000,12.174552,7.317183
47.390774,-82.344400,-283.000000,12.050326,7.386943
47.910774,-82.344400,-283.000000,11.840564,7.258678
48.430774,-82.344400,-283.000000,12.082401,7.345795
48.950774,-82.344400,-283.000000,12.217950,7.463292
49.470774,-82.344400,-283.000000,12.322137,7.442680
49.990774,-82.344400,-283.000000,12.506817,7.406783
50.510774,-82.344400,-283.000000,12.094384,7.300838
51.030774,-82.344400,-283.000000,12.170500,7.445793
51.550774,-82.344400,-283.000000,12.236530,7.282969
52.070774,-82.344400,-283.000000,12.099700,7.328678
52.590774,-82.344400,-283.000000,12.268332,7.425642
53.110774,-82.344400,-283.000000,12.263918,7.229714
53.630774,-82.344400,-283.000000,12.281154,7.343434
54.150774,-82.344400,-283.000000,12.145964,7.330671
54.670774,-82.344400,-283.000000,12.133976,7.414979
55.190774,-82.344400,-283.000000,11.983557,7.343398
55.710774,-82.344400,-283.000000,12.005146,7.305508
13.070774,-81.824400,-283.000000,12.415275,6.981734
13.590774,-81.824400,-283.000000,12.183242,7.064981
14.110774,-81.824400,-283.000000,12.118892,7.114827
14.630774,-81.824400,-283.000000,12.360153,7.172823
15.150774,-81.824400,-283.000000,12.007235,7.120605
15.670774,-81.824400,-283.000000,12.277789,7.102841
16.190774,-81.824400,-283.000000,12.216063,7.171412
16.710774,-81.824400,-283.000000,12.190821,7.167780
17.230774,-81.824400,-283.000000,12.104144,7.253037
17.750774,-81.824400,-283.000000,12.203599,7.226916
18.270774,-81.824400,-283.000000,11.918696,7.211393
18.790774,-81.824400,-283.000000,12.285953,7.289662
19.310774,-81.824400,-283.000000,12.184425,7.204646
19.830774,-81.824400,-283.000000,12.002535,7.313645
20.350774,-81.824400,-283.000000,12.295608,7.301643
20.870774,-81.824400,-283.000000,12.366897,7.355962
21.390774,-81.824400,-283.000000,12.195472,7.359380
21.910774,-81.824400,-283.000000,12.115732,7.253397
22.430774,-81.824400,-283.000000,12.218417,7.290397
22.950774,-81.824400,-283.000000,12.050849,7.297217
23.470774,-81.824400,-283.000000,12.209092,7.311984
23.990774,-81.824400,-283.000000,12.280451,7.339373
24.510774,-81.824400,-283.000000,12.256763,7.347704
25.030774,-81.824400,-283.000000,12.021073,7.292098
25.550774,-81.824400,-283.000000,12.213248,7.361897
26.070774,-81.824400,-283.000000,12.105294,7.257653
26.590774,-81.824400,-283.000000,12.173919,7.321627
27.110774,-81.824400,-283.000000,12.199903,7.307643
27.630774,-81.824400,-283.000000,12.119824,7.321832
28.150774,-81.824400,-283.000000,12.095296,7.311675
28.670774,-81.824400,-283.000000,12.321536,7.381153
29.190774,-81.824400,-283.000000,12.134735,7.354841
29.710774,-81.824400,-283.000000,12.114058,7.302430
30.230774,-81.824400,-283.000000,12.154669,7.292969
30.750774,-81.824400,-283.000000,12.164514,7.301719
31.270774,-81.824400,-283.000000,12.070910,7.227054
31.790774,-81.824400,-283.000000,12.073550,7.320719
32.310774,-81.824400,-283.000000,12.323294,7.296551
32.830774,-81.824400,-283.000000,12.311081,7.357562
33.350774,-81.824400,-283.000000,12.167442,7.347755
33.870774,-81.824400,-283.000000,12.296123,7.301359
34.390774,-81.824400,-283.000000,12.181707,7.376300
34.910774,-81.824400,-283.000000,12.411395,7.352937
35.430774,-81.824400,-283.000000,12.246984,7.407936
35.950774,-81.824400,-283.000000,11.987571,7.416238
36.470774,-81.824400,-283.000000,11.957713,7.316736
36.990774,-81.824400,-283.000000,12.099029,7.385027
37.510774,-81.824400,-283.000000,12.188566,7.341455
38.030774,-81.824400,-283.000000,12.061908,7.368379
38.550774,-81.824400,-283.000000,12.191004,7.380959
39.070774,-81.824400,-283.000000,12.113566,7.333703
39.590774,-81.824400,-283.000000,11.860768,7.282454
40.110774,-81.824400,-283.000000,12.161372,7.329576
40.630774,-81.824400,-283.000000,12.175764,7.369704
41.150774,-81.824400,-283.000000,12.240714,7.306290
41.670774,-81.824400,-283.000000,12.197482,7.373970
42.190774,-81.824400,-283.000000,12.227611,7.378400
42.710774,-81.824400,-283.000000,11.904441,7.377861
43.230774,-81.824400,-283.000000,12.446970,7.349711
43.750774,-81.824400,-283.000000,12.059970,7.340764
44.270774,-81.824400,-283.000000,12.115323,7.403778
44.790774,-81.824400,-283.000000,12.074394,7.360306
45.310774,-81.824400,-283.000000,12.326159,7.401813
45.830774,-81.824400,-283.000000,12.132840,7.310268
46.350774,-81.824400,-283.000000,12.199233,7.383577
46.870774,-81.824400,-283.000000,12.276084,7.373992
47.390774,-81.824400,-283.000000,12.026157,7.350738
47.910774,-81.824400,-283.000000,11.866014,7.267252
48.430774,-81.824400,-283.000000,12.058358,7.372581
48.950774,-81.824400,-283.000000,12.207030,7.465608
49.470774,-81.824400,-283.000000,12.293517,7.441831
49.990774,-81.824400,-283.000000,12.470846,7.375792
50.510774,-81.824400,-283.000000,12.112850,7.307244
51.030774,-81.824400,-283.000000,12.179836,7.475356
51.550774,-81.824400,-283.000000,12.242323,7.285920
52.070774,-81.824400,-283.000000,12.122244,7.353096
52.590774,-81.824400,-283.000000,12.245044,7.395395
53.110774,-81.824400,-283.000000,12.241934,7.231479
53.630774,-81.824400,-283.000000,12.384849,7.331526
54.150774,-81.824400,-283.000000,12.215110,7.361133
54.670774,-81.824400,-283.000000,12.121140,7.435041
55.190774,-81.824400,-283.000000,11.977866,7.329990
55.710774,-81.824400,-283.000000,12.056004,7.296300
56.230774,-81.824400,-283.000000,12.282474,7.355707
13.590774,-81.304400,-283.000000,12.168494,7.061158
55.710774,-81.304400,-283.000000,12.026748,7.296143
13.590774,-82.344400,-282.000000,12.313546,7.179442
14.110774,-82.344400,-282.000000,12.092669,7.070808
14.630774,-82.344400,-282.000000,12.361191,7.236896
15.150774,-82.344400,-282.000000,12.264846,7.145908
15.670774,-82.344400,-282.000000,12.156603,7.167567
16.190774,-82.344400,-282.000000,12.467166,7.339021
16.710774,-82.344400,-282.000000,12.255532,7.227912
17.230774,-82.344400,-282.000000,12.185287,7.285811
17.750774,-82.344400,-282.000000,12.308219,7.265907
18.270774,-82.344400,-282.000000,12.060132,7.254099
18.790774,-82.344400,-282.000000,12.371795,7.357894
19.310774,-82.344400,-282.000000,12.327201,7.236700
19.830774,-82.344400,-282.000000,12.429540,7.356291
20.350774,-82.344400,-282.000000,12.360885,7.312856
20.870774,-82.344400,-282.000000,11.936195,7.378163
21.390774,-82.344400,-282.000000,12.212708,7.398076
21.910774,-82.344400,-282.000000,11.943330,7.336338
22.430774,-82.344400,-282.000000,12.497885,7.330110
22.950774,-82.344400,-282.000000,12.284061,7.299394
23.470774,-82.344400,-282.000000,12.328998,7.296719
23.990774,-82.344400,-282.000000,12.495448,7.344910
24.510774,-82.344400,-282.000000,12.429647,7.445954
25.030774,-82.344400,-282.000000,12.315188,7.371167
25.550774,-82.344400,-282.000000,12.382364,7.312992
26.070774,-82.344400,-282.000000,12.511902,7.498950
26.590774,-82.344400,-282.000000,12.352550,7.359569
27.110774,-82.344400,-282.000000,12.335298,7.333695
27.630774,-82.344400,-282.000000,12.374104,7.414404
28.150774,-82.344400,-282.000000,12.129151,7.334815
28.670774,-82.344400,-282.000000,12.073686,7.355530
29.190774,-82.344400,-282.000000,12.347407,7.397853
29.710774,-82.344400,-282.000000,12.156932,7.382564
30.230774,-82.344400,-282.000000,12.460799,7.469617
30.750774,-82.344400,-282.000000,12.139631,7.320133
31.270774,-82.344400,-282.000000,12.415467,7.417975
31.790774,-82.344400,-282.000000,12.020354,7.319696
32.310774,-82.344400,-282.000000,12.105773,7.437473
32.830774,-82.344400,-282.000000,12.387761,7.384271
33.350774,-82.344400,-282.000000,12.508631,7.436333
33.870774,-82.344400,-282.000000,12.181678,7.403009
34.390774,-82.344400,-282.000000,12.124232,7.410573
