x_mm,y_mm,z_mm,LET_keV_per_um,Physical_dose
13.590774,-82.344400,-284.000000,12.185187,1.866967
14.110774,-82.344400,-284.000000,11.997222,1.852832
14.630774,-82.344400,-284.000000,12.124308,1.866054
15.150774,-82.344400,-284.000000,12.158007,1.869178
15.670774,-82.344400,-284.000000,12.131943,1.882984
16.190774,-82.344400,-284.000000,12.135810,1.893076
16.710774,-82.344400,-284.000000,12.030191,1.891473
17.230774,-82.344400,-284.000000,11.982795,1.878189
17.750774,-82.344400,-284.000000,12.171473,1.909772
18.270774,-82.344400,-284.000000,12.042747,1.901200
18.790774,-82.344400,-284.000000,12.243132,1.900175
19.310774,-82.344400,-284.000000,11.869803,1.868383
19.830774,-82.344400,-284.000000,11.986244,1.908206
20.350774,-82.344400,-284.000000,12.207503,1.929382
20.870774,-82.344400,-284.000000,11.838537,1.914792
21.390774,-82.344400,-284.000000,11.956685,1.928883
21.910774,-82.344400,-284.000000,11.986460,1.932828
22.430774,-82.344400,-284.000000,12.220063,1.947553
22.950774,-82.344400,-284.000000,12.189430,1.918412
23.470774,-82.344400,-284.000000,12.186145,1.923771
23.990774,-82.344400,-284.000000,12.029719,1.902210
24.510774,-82.344400,-284.000000,12.084043,1.928108
25.030774,-82.344400,-284.000000,11.980788,1.937685
25.550774,-82.344400,-284.000000,12.170397,1.931361
26.070774,-82.344400,-284.000000,12.014971,1.926713
26.590774,-82.344400,-284.000000,12.183331,1.930619
27.110774,-82.344400,-284.000000,11.976008,1.929775
27.630774,-82.344400,-284.000000,12.251009,1.934260
28.150774,-82.344400,-284.000000,12.181025,1.924876
28.670774,-82.344400,-284.000000,12.258635,1.931421
29.190774,-82.344400,-284.000000,11.871553,1.922009
29.710774,-82.344400,-284.000000,12.051006,1.931116
30.230774,-82.344400,-284.000000,11.938340,1.942749
30.750774,-82.344400,-284.000000,11.747795,1.937523
31.270774,-82.344400,-284.000000,12.127705,1.941646
31.790774,-82.344400,-284.000000,12.198805,1.938169
32.310774,-82.344400,-284.000000,11.973378,1.915669
32.830774,-82.344400,-284.000000,12.162620,1.903474
33.350774,-82.344400,-284.000000,12.054523,1.934934
33.870774,-82.344400,-284.000000,12.057554,1.923895
34.390774,-82.344400,-284.000000,11.941960,1.934186
34.910774,-82.344400,-284.000000,12.121428,1.937121
35.430774,-82.344400,-284.000000,12.048162,1.946098
35.950774,-82.344400,-284.000000,12.108665,1.931396
36.470774,-82.344400,-284.000000,12.224314,1.918077
36.990774,-82.344400,-284.000000,12.054713,1.940538
37.510774,-82.344400,-284.000000,12.002972,1.929402
38.030774,-82.344400,-284.000000,12.074375,1.925773
38.550774,-82.344400,-284.000000,11.978603,1.922120
39.070774,-82.344400,-284.000000,12.059380,1.922098
39.590774,-82.344400,-284.000000,11.833508,1.902781
40.110774,-82.344400,-284.000000,11.952042,1.945795
40.630774,-82.344400,-284.000000,11.988605,1.937777
41.150774,-82.344400,-284.000000,12.055820,1.931636
41.670774,-82.344400,-284.000000,12.106494,1.940914
42.190774,-82.344400,-284.000000,12.044600,1.929394
42.710774,-82.344400,-284.000000,12.123311,1.940262
43.230774,-82.344400,-284.000000,12.114511,1.922418
43.750774,-82.344400,-284.000000,12.019571,1.937712
44.270774,-82.344400,-284.000000,12.284932,1.923026
44.790774,-82.344400,-284.000000,12.126624,1.956398
45.310774,-82.344400,-284.000000,11.838634,1.916460
45.830774,-82.344400,-284.000000,12.043907,1.931839
46.350774,-82.344400,-284.000000,11.992919,1.938561
46.870774,-82.344400,-284.000000,12.104469,1.922172
47.390774,-82.344400,-284.000000,11.987988,1.931069
47.910774,-82.344400,-284.000000,12.102939,1.946502
48.430774,-82.344400,-284.000000,11.921678,1.928898
48.950774,-82.344400,-284.000000,11.997891,1.938952
49.470774,-82.344400,-284.000000,12.193325,1.937829
49.990774,-82.344400,-284.000000,12.135327,1.943949
50.510774,-82.344400,-284.000000,12.036923,1.916000
51.030774,-82.344400,-284.000000,12.010633,1.931524
13.070774,-81.824400,-284.000000,12.188700,1.854798
13.590774,-81.824400,-284.000000,12.183435,1.867877
14.110774,-81.824400,-284.000000,11.948677,1.857870
14.630774,-81.824400,-284.000000,12.112133,1.871379
15.150774,-81.824400,-284.000000,12.168513,1.873127
15.670774,-81.824400,-284.000000,12.036147,1.892713
16.190774,-81.824400,-284.000000,12.091340,1.897006
16.710774,-81.824400,-284.000000,12.050412,1.890847
17.230774,-81.824400,-284.000000,12.028380,1.887433
17.750774,-81.824400,-284.000000,12.217443,1.912689
18.270774,-81.824400,-284.000000,12.022799,1.904239
18.790774,-81.824400,-284.000000,12.241618,1.907259
19.310774,-81.824400,-284.000000,11.904174,1.876529
19.830774,-81.824400,-284.000000,11.959127,1.906611
20.350774,-81.824400,-284.000000,12.181751,1.939828
20.870774,-81.824400,-284.000000,11.911103,1.915806
21.390774,-81.824400,-284.000000,11.833783,1.929824
21.910774,-81.824400,-284.000000,12.037028,1.941486
22.430774,-81.824400,-284.000000,12.260032,1.953981
22.950774,-81.824400,-284.000000,12.228750,1.923871
23.470774,-81.824400,-284.000000,12.117484,1.932447
23.990774,-81.824400,-284.000000,12.027699,1.903816
24.510774,-81.824400,-284.000000,12.047168,1.933045
25.030774,-81.824400,-284.000000,11.984467,1.950854
25.550774,-81.824400,-284.000000,12.119208,1.928306
26.070774,-81.824400,-284.000000,12.019921,1.928417
26.590774,-81.824400,-284.000000,12.144897,1.940460
27.110774,-81.824400,-284.000000,11.979118,1.930883
27.630774,-81.824400,-284.000000,12.192630,1.936685
28.150774,-81.824400,-284.000000,12.165009,1.926765
28.670774,-81.824400,-284.000000,12.265685,1.942955
29.190774,-81.824400,-284.000000,11.878573,1.923748
29.710774,-81.824400,-284.000000,12.022021,1.933890
30.230774,-81.824400,-284.000000,11.917438,1.947802
30.750774,-81.824400,-284.000000,11.733509,1.932154
31.270774,-81.824400,-284.000000,12.093251,1.939041
31.790774,-81.824400,-284.000000,12.191321,1.935850
32.310774,-81.824400,-284.000000,11.995872,1.916249
32.830774,-81.824400,-284.000000,12.100405,1.904682
33.350774,-81.824400,-284.000000,12.044440,1.947070
33.870774,-81.824400,-284.000000,12.063899,1.918787
34.390774,-81.824400,-284.000000,11.910515,1.938178
34.910774,-81.824400,-284.000000,12.090316,1.946108
35.430774,-81.824400,-284.000000,12.016565,1.951068
35.950774,-81.824400,-284.000000,12.024283,1.932087
36.470774,-81.824400,-284.000000,12.227557,1.922383
36.990774,-81.824400,-284.000000,12.146335,1.946154
37.510774,-81.824400,-284.000000,11.970184,1.923188
38.030774,-81.824400,-284.000000,12.079719,1.937326
38.550774,-81.824400,-284.000000,11.970181,1.928271
39.070774,-81.824400,-284.000000,12.083769,1.926576
39.590774,-81.824400,-284.000000,11.846736,1.904303
40.110774,-81.824400,-284.000000,11.982855,1.949987
40.630774,-81.824400,-284.000000,11.958616,1.936333
41.150774,-81.824400,-284.000000,11.992293,1.937528
41.670774,-81.824400,-284.000000,12.139248,1.949721
42.190774,-81.824400,-284.000000,11.975387,1.938903
