x_mm,y_mm,z_mm,LET_keV_per_um,Physical_dose
13.590774,-82.344400,-284.000000,12.185187,4.667417
14.110774,-82.344400,-284.000000,11.997222,4.632080
14.630774,-82.344400,-284.000000,12.124308,4.665135
15.150774,-82.344400,-284.000000,12.158007,4.672945
15.670774,-82.344400,-284.000000,12.131943,4.707459
16.190774,-82.344400,-284.000000,12.135810,4.732689
16.710774,-82.344400,-284.000000,12.030191,4.728682
17.230774,-82.344400,-284.000000,11.982795,4.695473
17.750774,-82.344400,-284.000000,12.171473,4.774428
18.270774,-82.344400,-284.000000,12.042747,4.753000
18.790774,-82.344400,-284.000000,12.243132,4.750438
19.310774,-82.344400,-284.000000,11.869803,4.670958
19.830774,-82.344400,-284.000000,11.986244,4.770515
20.350774,-82.344400,-284.000000,12.207503,4.823454
20.870774,-82.344400,-284.000000,11.838537,4.786981
21.390774,-82.344400,-284.000000,11.956685,4.822207
21.910774,-82.344400,-284.000000,11.986460,4.832069
22.430774,-82.344400,-284.000000,12.220063,4.868883
22.950774,-82.344400,-284.000000,12.189430,4.796029
23.470774,-82.344400,-284.000000,12.186145,4.809426
23.990774,-82.344400,-284.000000,12.029719,4.755524
24.510774,-82.344400,-284.000000,12.084043,4.820271
25.030774,-82.344400,-284.000000,11.980788,4.844213
25.550774,-82.344400,-284.000000,12.170397,4.828402
26.070774,-82.344400,-284.000000,12.014971,4.816783
26.590774,-82.344400,-284.000000,12.183331,4.826548
27.110774,-82.344400,-284.000000,11.976008,4.824439
27.630774,-82.344400,-284.000000,12.251009,4.835650
28.150774,-82.344400,-284.000000,12.181025,4.812189
28.670774,-82.344400,-284.000000,12.258635,4.828552
29.190774,-82.344400,-284.000000,11.871553,4.805021
29.710774,-82.344400,-284.000000,12.051006,4.827789
30.230774,-82.344400,-284.000000,11.938340,4.856873
30.750774,-82.344400,-284.000000,11.747795,4.843808
31.270774,-82.344400,-284.000000,12.127705,4.854115
31.790774,-82.344400,-284.000000,12.198805,4.845422
32.310774,-82.344400,-284.000000,11.973378,4.789172
32.830774,-82.344400,-284.000000,12.162620,4.758685
33.350774,-82.344400,-284.000000,12.054523,4.837335
33.870774,-82.344400,-284.000000,12.057554,4.809737
34.390774,-82.344400,-284.000000,11.941960,4.835465
34.910774,-82.344400,-284.000000,12.121428,4.842802
35.430774,-82.344400,-284.000000,12.048162,4.865245
35.950774,-82.344400,-284.000000,12.108665,4.828490
36.470774,-82.344400,-284.000000,12.224314,4.795193
36.990774,-82.344400,-284.000000,12.054713,4.851346
37.510774,-82.344400,-284.000000,12.002972,4.823504
38.030774,-82.344400,-284.000000,12.074375,4.814431
38.550774,-82.344400,-284.000000,11.978603,4.805300
39.070774,-82.344400,-284.000000,12.059380,4.805244
39.590774,-82.344400,-284.000000,11.833508,4.756952
40.110774,-82.344400,-284.000000,11.952042,4.864486
40.630774,-82.344400,-284.000000,11.988605,4.844441
41.150774,-82.344400,-284.000000,12.055820,4.829089
41.670774,-82.344400,-284.000000,12.106494,4.852285
42.190774,-82.344400,-284.000000,12.044600,4.823484
42.710774,-82.344400,-284.000000,12.123311,4.850654
43.230774,-82.344400,-284.000000,12.114511,4.806044
43.750774,-82.344400,-284.000000,12.019571,4.844279
44.270774,-82.344400,-284.000000,12.284932,4.807566
44.790774,-82.344400,-284.000000,12.126624,4.890994
45.310774,-82.344400,-284.000000,11.838634,4.791150
45.830774,-82.344400,-284.000000,12.043907,4.829596
46.350774,-82.344400,-284.000000,11.992919,4.846402
46.870774,-82.344400,-284.000000,12.104469,4.805430
47.390774,-82.344400,-284.000000,11.987988,4.827672
47.910774,-82.344400,-284.000000,12.102939,4.866256
48.430774,-82.344400,-284.000000,11.921678,4.822244
48.950774,-82.344400,-284.000000,11.997891,4.847380
49.470774,-82.344400,-284.000000,12.193325,4.844573
49.990774,-82.344400,-284.000000,12.135327,4.859873
50.510774,-82.344400,-284.000000,12.036923,4.789999
51.030774,-82.344400,-284.000000,12.010633,4.828810
13.070774,-81.824400,-284.000000,12.188700,4.636994
13.590774,-81.824400,-284.000000,12.183435,4.669693
14.110774,-81.824400,-284.000000,11.948677,4.644676
14.630774,-81.824400,-284.000000,12.112133,4.678448
15.150774,-81.824400,-284.000000,12.168513,4.682816
15.670774,-81.824400,-284.000000,12.036147,4.731783
16.190774,-81.824400,-284.000000,12.091340,4.742514
16.710774,-81.824400,-284.000000,12.050412,4.727116
17.230774,-81.824400,-284.000000,12.028380,4.718581
17.750774,-81.824400,-284.000000,12.217443,4.781722
18.270774,-81.824400,-284.000000,12.022799,4.760598
18.790774,-81.824400,-284.000000,12.241618,4.768147
19.310774,-81.824400,-284.000000,11.904174,4.691322
19.830774,-81.824400,-284.000000,11.959127,4.766527
20.350774,-81.824400,-284.000000,12.181751,4.849571
20.870774,-81.824400,-284.000000,11.911103,4.789514
21.390774,-81.824400,-284.000000,11.833783,4.824559
21.910774,-81.824400,-284.000000,12.037028,4.853714
22.430774,-81.824400,-284.000000,12.260032,4.884951
22.950774,-81.824400,-284.000000,12.228750,4.809678
23.470774,-81.824400,-284.000000,12.117484,4.831118
23.990774,-81.824400,-284.000000,12.027699,4.759539
24.510774,-81.824400,-284.000000,12.047168,4.832613
25.030774,-81.824400,-284.000000,11.984467,4.877135
25.550774,-81.824400,-284.000000,12.119208,4.820765
26.070774,-81.824400,-284.000000,12.019921,4.821042
26.590774,-81.824400,-284.000000,12.144897,4.851149
27.110774,-81.824400,-284.000000,11.979118,4.827206
27.630774,-81.824400,-284.000000,12.192630,4.841712
28.150774,-81.824400,-284.000000,12.165009,4.816913
