x_mm,y_mm,z_mm,LET_keV_per_um,Physical_dose
13.590774,-82.344400,-284.000000,1.206635,7.827599
14.110774,-82.344400,-284.000000,1.219087,7.860416
14.630774,-82.344400,-284.000000,1.181820,7.794021
15.150774,-82.344400,-284.000000,1.288451,7.867373
15.670774,-82.344400,-284.000000,1.209611,7.826432
16.190774,-82.344400,-284.000000,1.205762,7.909372
16.710774,-82.344400,-284.000000,1.184555,7.906515
17.230774,-82.344400,-284.000000,1.187406,8.006423
17.750774,-82.344400,-284.000000,1.204632,7.895420
18.270774,-82.344400,-284.000000,1.219285,7.926472
18.790774,-82.344400,-284.000000,1.224397,7.872706
19.310774,-82.344400,-284.000000,1.221707,7.880722
19.830774,-82.344400,-284.000000,1.225086,7.922584
20.350774,-82.344400,-284.000000,1.198071,7.893736
20.870774,-82.344400,-284.000000,1.232737,7.875088
21.390774,-82.344400,-284.000000,1.294273,7.914877
21.910774,-82.344400,-284.000000,1.209135,7.870161
22.430774,-82.344400,-284.000000,1.226349,7.918813
22.950774,-82.344400,-284.000000,1.217878,7.967992
23.470774,-82.344400,-284.000000,1.239173,7.981278
23.990774,-82.344400,-284.000000,1.272684,7.946834
24.510774,-82.344400,-284.000000,1.244930,7.962632
25.030774,-82.344400,-284.000000,1.240793,7.883824
25.550774,-82.344400,-284.000000,1.223338,7.914011
26.070774,-82.344400,-284.000000,1.296666,7.995854
26.590774,-82.344400,-284.000000,1.199194,7.912747
27.110774,-82.344400,-284.000000,1.235581,7.890610
27.630774,-82.344400,-284.000000,1.261440,8.033225
28.150774,-82.344400,-284.000000,1.240210,8.023828
28.670774,-82.344400,-284.000000,1.239967,7.964733
29.190774,-82.344400,-284.000000,1.293301,7.937890
29.710774,-82.344400,-284.000000,1.250960,7.925537
30.230774,-82.344400,-284.000000,1.205348,8.023855
30.750774,-82.344400,-284.000000,1.259997,7.909850
31.270774,-82.344400,-284.000000,1.245634,7.926774
31.790774,-82.344400,-284.000000,1.247606,8.010334
32.310774,-82.344400,-284.000000,1.193611,7.915634
32.830774,-82.344400,-284.000000,1.231848,7.978404
33.350774,-82.344400,-284.000000,1.224594,7.923816
33.870774,-82.344400,-284.000000,1.186279,7.837446
34.390774,-82.344400,-284.000000,1.207106,7.887138
34.910774,-82.344400,-284.000000,1.177687,7.858975
35.430774,-82.344400,-284.000000,1.205161,7.952032
35.950774,-82.344400,-284.000000,1.200267,8.009411
36.470774,-82.344400,-284.000000,1.230004,7.927105
36.990774,-82.344400,-284.000000,1.226937,7.875857
37.510774,-82.344400,-284.000000,1.254802,7.941764
38.030774,-82.344400,-284.000000,1.198126,8.048159
38.550774,-82.344400,-284.000000,1.192319,7.954733
39.070774,-82.344400,-284.000000,1.192716,7.939723
39.590774,-82.344400,-284.000000,1.246164,7.950656
40.110774,-82.344400,-284.000000,1.280149,7.945749
40.630774,-82.344400,-284.000000,1.215046,7.984739
41.150774,-82.344400,-284.000000,1.173100,8.010361
41.670774,-82.344400,-284.000000,1.207353,8.001740
42.190774,-82.344400,-284.000000,1.243423,7.958908
42.710774,-82.344400,-284.000000,1.233987,7.897346
43.230774,-82.344400,-284.000000,1.205424,7.884780
43.750774,-82.344400,-284.000000,1.296544,7.958881
44.270774,-82.344400,-284.000000,1.301361,7.964862
44.790774,-82.344400,-284.000000,1.209107,7.899549
45.310774,-82.344400,-284.000000,1.176390,7.892873
45.830774,-82.344400,-284.000000,1.213546,7.926377
46.350774,-82.344400,-284.000000,1.290639,7.921536
46.870774,-82.344400,-284.000000,1.245237,7.953805
47.390774,-82.344400,-284.000000,1.249881,7.947732
47.910774,-82.344400,-284.000000,1.227591,7.987556
48.430774,-82.344400,-284.000000,1.225953,7.902602
48.950774,-82.344400,-284.000000,1.164278,7.863984
49.470774,-82.344400,-284.000000,1.205838,7.928463
49.990774,-82.344400,-284.000000,1.210387,7.894069
50.510774,-82.344400,-284.000000,1.189245,7.959255
51.030774,-82.344400,-284.000000,1.203997,7.961982
13.070774,-81.824400,-284.000000,1.246167,7.931415
13.590774,-81.824400,-284.000000,1.213471,7.860131
14.110774,-81.824400,-284.000000,1.214038,7.927040
14.630774,-81.824400,-284.000000,1.273452,7.808428
15.150774,-81.824400,-284.000000,1.229912,7.847054
15.670774,-81.824400,-284.000000,1.219818,7.831197
16.190774,-81.824400,-284.000000,1.189209,7.943413
16.710774,-81.824400,-284.000000,1.193696,7.899855
17.230774,-81.824400,-284.000000,1.193406,8.012231
17.750774,-81.824400,-284.000000,1.220092,7.921693
18.270774,-81.824400,-284.000000,1.267727,7.909943
18.790774,-81.824400,-284.000000,1.227014,7.897935
19.310774,-81.824400,-284.000000,1.240503,7.932719
19.830774,-81.824400,-284.000000,1.200321,7.948319
20.350774,-81.824400,-284.000000,1.218166,7.921545
20.870774,-81.824400,-284.000000,1.260551,7.975011
21.390774,-81.824400,-284.000000,1.247168,7.946046
21.910774,-81.824400,-284.000000,1.222468,7.912549
22.430774,-81.824400,-284.000000,1.233851,7.924260
22.950774,-81.824400,-284.000000,1.188065,7.908097
23.470774,-81.824400,-284.000000,1.231713,7.995294
23.990774,-81.824400,-284.000000,1.251261,7.991796
24.510774,-81.824400,-284.000000,1.240039,7.970128
25.030774,-81.824400,-284.000000,1.249376,7.935395
25.550774,-81.824400,-284.000000,1.250575,7.901248
26.070774,-81.824400,-284.000000,1.236501,7.956393
26.590774,-81.824400,-284.000000,1.223536,7.913816
27.110774,-81.824400,-284.000000,1.280690,7.920273
27.630774,-81.824400,-284.000000,1.206981,8.004276
28.150774,-81.824400,-284.000000,1.216169,7.966824
28.670774,-81.824400,-284.000000,1.241731,8.047223
29.190774,-81.824400,-284.000000,1.226503,7.979839
29.710774,-81.824400,-284.000000,1.271754,7.943183
30.230774,-81.824400,-284.000000,1.273177,7.955685
30.750774,-81.824400,-284.000000,1.198308,7.959849
31.270774,-81.824400,-284.000000,1.259869,7.942513
31.790774,-81.824400,-284.000000,1.242398,8.003465
32.310774,-81.824400,-284.000000,1.245823,7.923022
32.830774,-81.824400,-284.000000,1.257567,7.952651
33.350774,-81.824400,-284.000000,1.237736,7.954679
33.870774,-81.824400,-284.000000,1.181539,7.860263
34.390774,-81.824400,-284.000000,1.213665,7.831999
34.910774,-81.824400,-284.000000,1.214590,7.878965
35.430774,-81.824400,-284.000000,1.214264,7.965795
35.950774,-81.824400,-284.000000,1.234937,7.996723
36.470774,-81.824400,-284.000000,1.227732,7.957788
36.990774,-81.824400,-284.000000,1.227304,7.937943
37.510774,-81.824400,-284.000000,1.248145,7.967672
38.030774,-81.824400,-284.000000,1.199907,8.015864
38.550774,-81.824400,-284.000000,1.217583,7.960434
39.070774,-81.824400,-284.000000,1.234329,7.896604
39.590774,-81.824400,-284.000000,1.187713,7.956627
40.110774,-81.824400,-284.000000,1.207875,7.950049
40.630774,-81.824400,-284.000000,1.212993,7.993097
41.150774,-81.824400,-284.000000,1.235812,8.051913
41.670774,-81.824400,-284.000000,1.246320,8.010824
42.190774,-81.824400,-284.000000,1.216956,7.989020
42.710774,-81.824400,-284.000000,1.251668,7.889032
43.230774,-81.824400,-284.000000,1.200685,7.907094
43.750774,-81.824400,-284.000000,1.248774,7.930782
44.270774,-81.824400,-284.000000,1.262626,8.010754
44.790774,-81.824400,-284.000000,1.200819,7.914690
45.310774,-81.824400,-284.000000,1.178234,7.940549
45.830774,-81.824400,-284.000000,1.220922,7.925298
46.350774,-81.824400,-284.000000,1.226954,8.021188
46.870774,-81.824400,-284.000000,1.202931,7.961261
47.390774,-81.824400,-284.000000,1.276844,7.970263
47.910774,-81.824400,-284.000000,1.228740,7.957368
48.430774,-81.824400,-284.000000,1.197069,7.928589
48.950774,-81.824400,-284.000000,1.206805,7.923608
49.470774,-81.824400,-284.000000,1.234430,7.977263
49.990774,-81.824400,-284.000000,1.209985,7.903272
50.510774,-81.824400,-284.000000,1.196546,7.921801
51.030774,-81.824400,-284.000000,1.238493,7.975625
51.550774,-81.824400,-284.000000,1.259785,7.968256
52.070774,-81.824400,-284.000000,1.249837,7.977636
52.590774,-81.824400,-284.000000,1.247081,8.056147
53.110774,-81.824400,-284.000000,1.200869,7.940036
53.630774,-81.824400,-284.000000,1.228181,7.878399
54.150774,-81.824400,-284.000000,1.226090,7.934896
14.630774,-81.304400,-284.000000,1.227002,7.852283
15.150774,-81.304400,-284.000000,1.261031,7.870185
15.670774,-81.304400,-284.000000,1.223075,7.823227
16.190774,-81.304400,-284.000000,1.193490,7.942613
16.710774,-81.304400,-284.000000,1.205948,7.911446
17.230774,-81.304400,-284.000000,1.229626,7.978641
17.750774,-81.304400,-284.000000,1.198124,7.920886
18.270774,-81.304400,-284.000000,1.227757,7.901597
18.790774,-81.304400,-284.000000,1.219128,7.907286
19.310774,-81.304400,-284.000000,1.206672,7.944068
42.710774,-81.304400,-284.000000,1.245964,7.929918
43.230774,-81.304400,-284.000000,1.189995,7.917337
43.750774,-81.304400,-284.000000,1.217165,7.991479
44.270774,-81.304400,-284.000000,1.240104,7.999194
44.790774,-81.304400,-284.000000,1.277809,7.938628
45.310774,-81.304400,-284.000000,1.215365,7.983368
45.830774,-81.304400,-284.000000,1.226135,7.943518
46.350774,-81.304400,-284.000000,1.206971,7.962753
46.870774,-81.304400,-284.000000,1.207412,7.982825
47.390774,-81.304400,-284.000000,1.201468,7.932749
47.910774,-81.304400,-284.000000,1.217884,7.983778
48.430774,-81.304400,-284.000000,1.190484,7.935035
48.950774,-81.304400,-284.000000,1.249739,7.947580
13.590774,-82.344400,-283.000000,1.196545,7.839097
14.110774,-82.344400,-283.000000,1.240455,7.909680
14.630774,-82.344400,-283.000000,1.224152,7.883653
15.150774,-82.344400,-283.000000,1.241427,7.902340
15.670774,-82.344400,-283.000000,1.293575,7.891431
16.190774,-82.344400,-283.000000,1.198266,7.916769
16.710774,-82.344400,-283.000000,1.223921,7.908897
17.230774,-82.344400,-283.000000,1.226450,7.898209
17.750774,-82.344400,-283.000000,1.240569,7.869990
18.270774,-82.344400,-283.000000,1.196877,7.957643
18.790774,-82.344400,-283.000000,1.249344,7.945784
19.310774,-82.344400,-283.000000,1.234573,8.013456
19.830774,-82.344400,-283.000000,1.249112,7.902641
20.350774,-82.344400,-283.000000,1.224986,8.028604
20.870774,-82.344400,-283.000000,1.241846,8.032916
21.390774,-82.344400,-283.000000,1.203287,7.853440
21.910774,-82.344400,-283.000000,1.229209,7.919052
22.430774,-82.344400,-283.000000,1.203418,8.018388
22.950774,-82.344400,-283.000000,1.234919,7.948375
23.470774,-82.344400,-283.000000,1.254432,8.007060
23.990774,-82.344400,-283.000000,1.252218,7.915134
24.510774,-82.344400,-283.000000,1.179240,7.885006
25.030774,-82.344400,-283.000000,1.190473,7.963917
25.550774,-82.344400,-283.000000,1.184101,7.906373
26.070774,-82.344400,-283.000000,1.228830,7.991591
26.590774,-82.344400,-283.000000,1.256799,7.902693
27.110774,-82.344400,-283.000000,1.274882,7.880095
27.630774,-82.344400,-283.000000,1.212570,7.956182
28.150774,-82.344400,-283.000000,1.228516,7.895274
28.670774,-82.344400,-283.000000,1.231385,7.940669
29.190774,-82.344400,-283.000000,1.257740,7.975567
29.710774,-82.344400,-283.000000,1.315684,7.988974
30.230774,-82.344400,-283.000000,1.262041,7.920598
30.750774,-82.344400,-283.000000,1.186391,7.907537
31.270774,-82.344400,-283.000000,1.209088,7.954864
31.790774,-82.344400,-283.000000,1.245170,7.982564
32.310774,-82.344400,-283.000000,1.270975,7.961790
32.830774,-82.344400,-283.000000,1.268939,7.920068
33.350774,-82.344400,-283.000000,1.223700,7.983598
33.870774,-82.344400,-283.000000,1.169952,7.929455
34.390774,-82.344400,-283.000000,1.252606,8.002441
34.910774,-82.344400,-283.000000,1.191177,7.920933
35.430774,-82.344400,-283.000000,1.231870,8.005420
35.950774,-82.344400,-283.000000,1.236065,7.951111
36.470774,-82.344400,-283.000000,1.259696,7.963699
36.990774,-82.344400,-283.000000,1.225648,7.866343
37.510774,-82.344400,-283.000000,1.229584,7.916066
38.030774,-82.344400,-283.000000,1.222690,7.986134
38.550774,-82.344400,-283.000000,1.249511,7.969886
39.070774,-82.344400,-283.000000,1.258047,8.023862
39.590774,-82.344400,-283.000000,1.248161,7.913896
40.110774,-82.344400,-283.000000,1.225528,7.930903
40.630774,-82.344400,-283.000000,1.232741,7.963155
41.150774,-82.344400,-283.000000,1.208417,8.111508
41.670774,-82.344400,-283.000000,1.203136,8.034097
42.190774,-82.344400,-283.000000,1.229936,7.875751
42.710774,-82.344400,-283.000000,1.181541,7.933023
43.230774,-82.344400,-283.000000,1.231958,8.010090
43.750774,-82.344400,-283.000000,1.259398,8.054499
