x_mm,y_mm,z_mm,LET_keV_per_um,Dose_GyRBE
-11.040400,-82.529000,-231.950000,1.173432,0.511070
-10.740400,-82.529000,-231.950000,1.193269,0.506859
-10.440400,-82.529000,-231.950000,1.178448,0.511397
-10.140400,-82.529000,-231.950000,1.163488,0.510570
-9.840400,-82.529000,-231.950000,1.188923,0.509418
-9.540400,-82.529000,-231.950000,1.174213,0.507045
-9.240400,-82.529000,-231.950000,1.165825,0.510685
-8.940400,-82.529000,-231.950000,1.183555,0.514448
-8.640400,-82.529000,-231.950000,1.173251,0.513240
-8.340400,-82.529000,-231.950000,1.232339,0.513950
-5.040400,-82.529000,-231.950000,1.196556,0.515020
-4.740400,-82.529000,-231.950000,1.221903,0.515126
-4.440400,-82.529000,-231.950000,1.184333,0.520076
-4.140400,-82.529000,-231.950000,1.187504,0.509048
-3.840400,-82.529000,-231.950000,1.223510,0.516010
-3.540400,-82.529000,-231.950000,1.210851,0.517494
-3.240400,-82.529000,-231.950000,1.222740,0.516107
-2.940400,-82.529000,-231.950000,1.164137,0.515943
-2.640400,-82.529000,-231.950000,1.225012,0.516443
-2.340400,-82.529000,-231.950000,1.222936,0.514664
-2.040400,-82.529000,-231.950000,1.164198,0.517565
-1.740400,-82.529000,-231.950000,1.167295,0.513051
-1.440400,-82.529000,-231.950000,1.172797,0.511186
-1.140400,-82.529000,-231.950000,1.209267,0.516329
-0.840400,-82.529000,-231.950000,1.212475,0.515692
-0.540400,-82.529000,-231.950000,1.185265,0.508461
-0.240400,-82.529000,-231.950000,1.196725,0.513723
0.059600,-82.529000,-231.950000,1.219700,0.518309
0.359600,-82.529000,-231.950000,1.194658,0.515482
0.659600,-82.529000,-231.950000,1.207610,0.512868
0.959600,-82.529000,-231.950000,1.199432,0.515211
1.259600,-82.529000,-231.950000,1.155976,0.512012
1.559600,-82.529000,-231.950000,1.198125,0.508065
1.859600,-82.529000,-231.950000,1.205613,0.509982
2.159600,-82.529000,-231.950000,1.207755,0.519342
2.459600,-82.529000,-231.950000,1.190676,0.510180
2.759600,-82.529000,-231.950000,1.175321,0.509950
-11.340400,-82.229000,-231.950000,1.160628,0.505406
-11.040400,-82.229000,-231.950000,1.173229,0.507053
-10.740400,-82.229000,-231.950000,1.201074,0.505232
-10.440400,-82.229000,-231.950000,1.140596,0.508014
-10.140400,-82.229000,-231.950000,1.219897,0.511925
-9.840400,-82.229000,-231.950000,1.162033,0.504034
-9.540400,-82.229000,-231.950000,1.193031,0.507015
-9.240400,-82.229000,-231.950000,1.182427,0.510451
-8.940400,-82.229000,-231.950000,1.177498,0.510714
-8.640400,-82.229000,-231.950000,1.196245,0.513679
-8.340400,-82.229000,-231.950000,1.179553,0.509133
-8.040400,-82.229000,-231.950000,1.212608,0.514041
-7.740400,-82.229000,-231.950000,1.184372,0.506842
-7.440400,-82.229000,-231.950000,1.185109,0.514542
-7.140400,-82.229000,-231.950000,1.211015,0.515564
-6.840400,-82.229000,-231.950000,1.195450,0.511568
-6.540400,-82.229000,-231.950000,1.171025,0.508368
-6.240400,-82.229000,-231.950000,1.193862,0.505709
-5.940400,-82.229000,-231.950000,1.213437,0.516202
-5.640400,-82.229000,-231.950000,1.190872,0.510223
-5.340400,-82.229000,-231.950000,1.198280,0.507821
-5.040400,-82.229000,-231.950000,1.224109,0.515330
-4.740400,-82.229000,-231.950000,1.175563,0.511542
-4.440400,-82.229000,-231.950000,1.171223,0.515193
-4.140400,-82.229000,-231.950000,1.200036,0.507646
-3.840400,-82.229000,-231.950000,1.175006,0.513460
-3.540400,-82.229000,-231.950000,1.193591,0.513432
-3.240400,-82.229000,-231.950000,1.178980,0.511387
-2.940400,-82.229000,-231.950000,1.168332,0.514147
-2.640400,-82.229000,-231.950000,1.195745,0.516070
-2.340400,-82.229000,-231.950000,1.145788,0.512320
-2.040400,-82.229000,-231.950000,1.151975,0.513581
-1.740400,-82.229000,-231.950000,1.213030,0.512324
-1.440400,-82.229000,-231.950000,1.188043,0.513771
-1.140400,-82.229000,-231.950000,1.177786,0.513524
-0.840400,-82.229000,-231.950000,1.199811,0.514378
-0.540400,-82.229000,-231.950000,1.171265,0.504602
-0.240400,-82.229000,-231.950000,1.198694,0.511909
0.059600,-82.229000,-231.950000,1.171888,0.513289
0.359600,-82.229000,-231.950000,1.244052,0.519553
0.659600,-82.229000,-231.950000,1.196220,0.513077
0.959600,-82.229000,-231.950000,1.138061,0.513139
1.259600,-82.229000,-231.950000,1.191302,0.512096
1.559600,-82.229000,-231.950000,1.172500,0.505725
1.859600,-82.229000,-231.950000,1.198502,0.509655
2.159600,-82.229000,-231.950000,1.195917,0.515944
2.459600,-82.229000,-231.950000,1.177568,0.508286
2.759600,-82.229000,-231.950000,1.149214,0.505360
-11.340400,-82.529000,-231.650000,1.173577,0.510315
-11.040400,-82.529000,-231.650000,1.204746,0.508223
-10.740400,-82.529000,-231.650000,1.230538,0.515556
-10.440400,-82.529000,-231.650000,1.169258,0.506816
-10.140400,-82.529000,-231.650000,1.180513,0.517255
-9.840400,-82.529000,-231.650000,1.189170,0.510282
-9.540400,-82.529000,-231.650000,1.170106,0.507476
-9.240400,-82.529000,-231.650000,1.187680,0.499931
-8.940400,-82.529000,-231.650000,1.149997,0.511491
-8.640400,-82.529000,-231.650000,1.198094,0.510726
-8.340400,-82.529000,-231.650000,1.179526,0.511436
-8.040400,-82.529000,-231.650000,1.136952,0.509488
-7.740400,-82.529000,-231.650000,1.248332,0.514633
-7.440400,-82.529000,-231.650000,1.189420,0.512768
-7.140400,-82.529000,-231.650000,1.201898,0.512448
-6.840400,-82.529000,-231.650000,1.204478,0.515694
-6.540400,-82.529000,-231.650000,1.168089,0.511258
-6.240400,-82.529000,-231.650000,1.176256,0.512968
-5.940400,-82.529000,-231.650000,1.232859,0.513294
-5.640400,-82.529000,-231.650000,1.182325,0.510581
-5.340400,-82.529000,-231.650000,1.159422,0.513757
-5.040400,-82.529000,-231.650000,1.250369,0.515393
-4.740400,-82.529000,-231.650000,1.194970,0.516404
-4.440400,-82.529000,-231.650000,1.210553,0.517186
-4.140400,-82.529000,-231.650000,1.241261,0.513682
-3.840400,-82.529000,-231.650000,1.207077,0.510262
-3.540400,-82.529000,-231.650000,1.197775,0.514434
-3.240400,-82.529000,-231.650000,1.166794,0.517544
-2.940400,-82.529000,-231.650000,1.207905,0.512101
-2.640400,-82.529000,-231.650000,1.161946,0.515612
-2.340400,-82.529000,-231.650000,1.169830,0.511256
-2.040400,-82.529000,-231.650000,1.178035,0.508509
-1.740400,-82.529000,-231.650000,1.179885,0.514347
-1.440400,-82.529000,-231.650000,1.183285,0.517545
-1.140400,-82.529000,-231.650000,1.196697,0.516144
-0.840400,-82.529000,-231.650000,1.209180,0.520335
-0.540400,-82.529000,-231.650000,1.173119,0.511535
-0.240400,-82.529000,-231.650000,1.145166,0.511453
0.059600,-82.529000,-231.650000,1.213296,0.512717
0.359600,-82.529000,-231.650000,1.225801,0.517533
0.659600,-82.529000,-231.650000,1.191950,0.520934
0.959600,-82.529000,-231.650000,1.166629,0.512532
1.259600,-82.529000,-231.650000,1.180219,0.517921
1.559600,-82.529000,-231.650000,1.204154,0.510189
1.859600,-82.529000,-231.650000,1.212767,0.513199
2.159600,-82.529000,-231.650000,1.206676,0.512887
2.459600,-82.529000,-231.650000,1.163619,0.505999
2.759600,-82.529000,-231.650000,1.197356,0.508033
3.059600,-82.529000,-231.650000,1.176071,0.515727
-11.640400,-82.229000,-231.650000,1.179623,0.509245
-11.340400,-82.229000,-231.650000,1.201629,0.509795
-11.040400,-82.229000,-231.650000,1.186632,0.508925
-10.740400,-82.229000,-231.650000,1.138315,0.510208
-10.440400,-82.229000,-231.650000,1.188291,0.506315
-10.140400,-82.229000,-231.650000,1.165980,0.515761
-9.840400,-82.229000,-231.650000,1.189072,0.505695
-9.540400,-82.229000,-231.650000,1.149438,0.506223
-9.240400,-82.229000,-231.650000,1.170069,0.500208
-8.940400,-82.229000,-231.650000,1.177633,0.509861
-8.640400,-82.229000,-231.650000,1.149947,0.509240
-8.340400,-82.229000,-231.650000,1.168624,0.507543
-8.040400,-82.229000,-231.650000,1.155886,0.510747
-7.740400,-82.229000,-231.650000,1.189368,0.509519
-7.440400,-82.229000,-231.650000,1.207423,0.510922
-7.140400,-82.229000,-231.650000,1.193653,0.511813
-6.840400,-82.229000,-231.650000,1.199358,0.511205
-6.540400,-82.229000,-231.650000,1.173324,0.509658
-6.240400,-82.229000,-231.650000,1.146673,0.510490
-5.940400,-82.229000,-231.650000,1.230952,0.512831
-5.640400,-82.229000,-231.650000,1.193371,0.508827
-5.340400,-82.229000,-231.650000,1.199720,0.511600
-5.040400,-82.229000,-231.650000,1.207392,0.514708
-4.740400,-82.229000,-231.650000,1.178901,0.514619
-4.440400,-82.229000,-231.650000,1.149828,0.512111
-4.140400,-82.229000,-231.650000,1.171556,0.512151
-3.840400,-82.229000,-231.650000,1.200832,0.508005
-3.540400,-82.229000,-231.650000,1.169186,0.513581
-3.240400,-82.229000,-231.650000,1.161543,0.516703
-2.940400,-82.229000,-231.650000,1.186331,0.509811
-2.640400,-82.229000,-231.650000,1.249198,0.518518
-2.340400,-82.229000,-231.650000,1.160156,0.509054
-2.040400,-82.229000,-231.650000,1.206248,0.508841
-1.740400,-82.229000,-231.650000,1.211467,0.510364
-1.440400,-82.229000,-231.650000,1.201871,0.518389
-1.140400,-82.229000,-231.650000,1.171144,0.514991
-0.840400,-82.229000,-231.650000,1.189407,0.514720
-0.540400,-82.229000,-231.650000,1.149329,0.509158
-0.240400,-82.229000,-231.650000,1.157505,0.511297
0.059600,-82.229000,-231.650000,1.212966,0.512358
0.359600,-82.229000,-231.650000,1.239654,0.517018
0.659600,-82.229000,-231.650000,1.156143,0.514963
0.959600,-82.229000,-231.650000,1.206623,0.513552
1.259600,-82.229000,-231.650000,1.164802,0.515459
1.559600,-82.229000,-231.650000,1.188955,0.509562
1.859600,-82.229000,-231.650000,1.192757,0.510120
2.159600,-82.229000,-231.650000,1.213818,0.512771
2.459600,-82.229000,-231.650000,1.192011,0.506376
2.759600,-82.229000,-231.650000,1.162199,0.505714
3.059600,-82.229000,-231.650000,1.191346,0.514991
3.359600,-82.229000,-231.650000,1.163206,0.512593
-11.640400,-82.529000,-231.350000,1.165758,0.505369
-11.340400,-82.529000,-231.350000,1.142547,0.509537
-11.040400,-82.529000,-231.350000,1.152994,0.506320
-10.740400,-82.529000,-231.350000,1.213090,0.510473
-10.440400,-82.529000,-231.350000,1.213494,0.513553
-10.140400,-82.529000,-231.350000,1.199179,0.512185
-9.840400,-82.529000,-231.350000,1.217544,0.515790
-9.540400,-82.529000,-231.350000,1.219337,0.511399
-9.240400,-82.529000,-231.350000,1.186631,0.511191
-8.940400,-82.529000,-231.350000,1.179543,0.512388
-8.640400,-82.529000,-231.350000,1.214568,0.512002
-8.340400,-82.529000,-231.350000,1.236929,0.506476
-8.040400,-82.529000,-231.350000,1.215061,0.508725
-7.740400,-82.529000,-231.350000,1.173457,0.512750
-7.440400,-82.529000,-231.350000,1.196851,0.514544
-7.140400,-82.529000,-231.350000,1.219641,0.516164
-6.840400,-82.529000,-231.350000,1.210781,0.515144
-6.540400,-82.529000,-231.350000,1.215694,0.514240
-6.240400,-82.529000,-231.350000,1.219693,0.515858
-5.940400,-82.529000,-231.350000,1.239142,0.515706
-5.640400,-82.529000,-231.350000,1.211008,0.515688
-5.340400,-82.529000,-231.350000,1.136050,0.519299
-5.040400,-82.529000,-231.350000,1.157424,0.513980
-4.740400,-82.529000,-231.350000,1.185698,0.514310
-4.440400,-82.529000,-231.350000,1.186520,0.507818
-4.140400,-82.529000,-231.350000,1.245488,0.512626
-3.840400,-82.529000,-231.350000,1.198310,0.518238
-3.540400,-82.529000,-231.350000,1.221700,0.512571
-3.240400,-82.529000,-231.350000,1.212684,0.506868
-2.940400,-82.529000,-231.350000,1.185242,0.513312
-2.640400,-82.529000,-231.350000,1.232936,0.519142
-2.340400,-82.529000,-231.350000,1.181134,0.511290
-2.040400,-82.529000,-231.350000,1.175315,0.514134
-1.740400,-82.529000,-231.350000,1.183029,0.515155
-1.440400,-82.529000,-231.350000,1.210428,0.514665
-1.140400,-82.529000,-231.350000,1.196834,0.517355
-0.840400,-82.529000,-231.350000,1.210052,0.514847
-0.540400,-82.529000,-231.350000,1.164306,0.510354
-0.240400,-82.529000,-231.350000,1.182813,0.513428
0.059600,-82.529000,-231.350000,1.222035,0.510249
0.359600,-82.529000,-231.350000,1.228283,0.512703
0.659600,-82.529000,-231.350000,1.182911,0.511209
0.959600,-82.529000,-231.350000,1.223722,0.514726
1.259600,-82.529000,-231.350000,1.198366,0.510483
1.559600,-82.529000,-231.350000,1.250736,0.514903
1.859600,-82.529000,-231.350000,1.182422,0.510915
2.159600,-82.529000,-231.350000,1.178358,0.509885
2.459600,-82.529000,-231.350000,1.134844,0.518322
2.759600,-82.529000,-231.350000,1.209144,0.515599
3.059600,-82.529000,-231.350000,1.178139,0.512576
3.359600,-82.529000,-231.350000,1.149720,0.515870
3.659600,-82.529000,-231.350000,1.191646,0.510781
-11.640400,-82.229000,-231.350000,1.166517,0.504636
-11.340400,-82.229000,-231.350000,1.156383,0.508661
-11.040400,-82.229000,-231.350000,1.155128,0.505954
-10.740400,-82.229000,-231.350000,1.135029,0.506202
-10.440400,-82.229000,-231.350000,1.176391,0.512753
-10.140400,-82.229000,-231.350000,1.256327,0.512096
-9.840400,-82.229000,-231.350000,1.172307,0.508854
-9.540400,-82.229000,-231.350000,1.209146,0.511064
-9.240400,-82.229000,-231.350000,1.150182,0.507939
-8.940400,-82.229000,-231.350000,1.158181,0.513481
-8.640400,-82.229000,-231.350000,1.126988,0.506754
-8.340400,-82.229000,-231.350000,1.171832,0.505628
-8.040400,-82.229000,-231.350000,1.200520,0.508450
-7.740400,-82.229000,-231.350000,1.209662,0.511451
-7.440400,-82.229000,-231.350000,1.221220,0.513423
-7.140400,-82.229000,-231.350000,1.184929,0.514972
-6.840400,-82.229000,-231.350000,1.223192,0.516195
-6.540400,-82.229000,-231.350000,1.197080,0.514980
-6.240400,-82.229000,-231.350000,1.168965,0.511599
-5.940400,-82.229000,-231.350000,1.151832,0.511428
-5.640400,-82.229000,-231.350000,1.211253,0.517165
-5.340400,-82.229000,-231.350000,1.178473,0.517699
-5.040400,-82.229000,-231.350000,1.184181,0.514661
-4.740400,-82.229000,-231.350000,1.182455,0.511070
-4.440400,-82.229000,-231.350000,1.187739,0.506496
-4.140400,-82.229000,-231.350000,1.202331,0.512244
-3.840400,-82.229000,-231.350000,1.199044,0.516147
-3.540400,-82.229000,-231.350000,1.174797,0.510201
-3.240400,-82.229000,-231.350000,1.178070,0.504135
-2.940400,-82.229000,-231.350000,1.232591,0.513293
-2.640400,-82.229000,-231.350000,1.143802,0.514673
-2.340400,-82.229000,-231.350000,1.165318,0.508835
-2.040400,-82.229000,-231.350000,1.197454,0.513882
-1.740400,-82.229000,-231.350000,1.238613,0.514754
-1.440400,-82.229000,-231.350000,1.173542,0.513410
-1.140400,-82.229000,-231.350000,1.207862,0.515006
-0.840400,-82.229000,-231.350000,1.179455,0.513137
-0.540400,-82.229000,-231.350000,1.146652,0.507530
-0.240400,-82.229000,-231.350000,1.187941,0.510845
0.059600,-82.229000,-231.350000,1.187555,0.510425
0.359600,-82.229000,-231.350000,1.176210,0.509648
0.659600,-82.229000,-231.350000,1.155672,0.508795
0.959600,-82.229000,-231.350000,1.160632,0.514793
1.259600,-82.229000,-231.350000,1.175303,0.510008
1.559600,-82.229000,-231.350000,1.166575,0.511358
1.859600,-82.229000,-231.350000,1.144790,0.509510
2.159600,-82.229000,-231.350000,1.204964,0.509432
